bar,beat,onset
-1,1,3.0483900226757368
0,1,4.228526077097506
1,1,5.392244897959183
2,1,6.533560090702948
3,1,7.64578231292517
4,1,8.7778231292517
5,1,9.904807256235827
6,1,11.018095238095238
7,1,12.124943310657596
8,1,13.255691609977324
9,1,14.374308390022676
10,1,15.496281179138322
11,1,16.628390022675738
12,1,17.755102040816325
13,1,18.901043083900227
14,1,20.025215419501134
15,1,21.13705215419501
16,1,22.27863945578231
17,1,23.446190476190477
18,1,24.618299319727893
19,1,25.750226757369614
20,1,26.82736961451247
21,1,27.97517006802721
22,1,29.07761904761905
23,1,30.20045351473923
24,1,31.331360544217688
25,1,32.453378684807255
26,1,33.58092970521542
27,1,34.69292517006803
28,1,35.83539682539683
29,1,36.966961451247165
30,1,38.11419501133787
31,1,39.248979591836736
