bar,beat,onset
1,1,5.030022675736961
2,1,6.188117913832199
3,1,7.38297052154195
4,1,8.555102040816326
5,1,9.691315192743764
6,1,10.874353741496599
7,1,11.99655328798186
8,1,13.118503401360543
9,1,14.285283446712018
10,1,15.432426303854875
11,1,16.574126984126984
12,1,17.765827664399094
13,1,18.933514739229025
14,1,20.07063492063492
15,1,21.217936507936507
16,1,22.4043537414966
17,1,23.53612244897959
18,1,24.683310657596373
19,1,25.795532879818595
20,1,26.97204081632653
21,1,28.119138321995464
22,1,29.262947845804987
23,1,30.37170068027211
24,1,31.501201814058955
25,1,32.613401360544216
26,1,33.74523809523809
27,1,34.90312925170068
28,1,36.0307029478458
29,1,37.162562358276645
30,1,38.339024943310655
31,1,39.505600907029475
32,1,40.68716553287982
