bar,beat,onset
1,1,5.100657596371882
2,1,6.4924263038548755
3,1,7.885170068027211
4,1,9.231632653061224
5,1,10.610045351473923
6,1,11.956303854875284
7,1,13.339863945578232
8,1,14.688480725623583
9,1,16.050385487528345
10,1,17.438185941043084
11,1,18.818367346938775
12,1,20.15151927437642
13,1,21.513809523809524
14,1,22.871655328798187
15,1,24.255691609977323
16,1,25.610249433106574
17,1,26.954421768707483
18,1,28.34092970521542
19,1,29.682426303854875
20,1,31.012766439909296
21,1,32.35886621315193
22,1,33.76582766439909
23,1,35.11185941043084
24,1,36.490544217687074
25,1,37.891609977324265
