bar,beat,onset
1,1,3.313718820861678
2,1,7.800544217687075
3,1,12.391836734693877
4,1,17.224489795918366
5,1,21.843061224489794
6,1,26.4
7,1,31.16734693877551
8,1,35.80408163265306
9,1,40.48979591836735
10,1,45.12657596371882
11,1,49.76036281179138
12,1,54.30936507936508
13,1,58.9202947845805
14,1,63.5472335600907
15,1,68.14802721088435
16,1,72.72993197278912
17,1,77.1368253968254
18,1,81.76326530612245
19,1,86.37934240362812
20,1,90.88979591836734
21,1,95.34893424036281
22,1,99.77034013605441
23,1,104.40816326530613
24,1,108.98319727891156
25,1,113.40548752834466
26,1,117.87786848072562
27,1,122.29106575963719
28,1,126.75773242630386
29,1,131.22514739229024
30,1,135.691768707483
31,1,140.1202947845805
32,1,144.52253968253967
33,1,148.9354195011338
34,1,153.39249433106576
35,1,157.78056689342404
36,1,161.96938775510205
