bar,beat,onset
-2,1,2.128888888888889
-1,1,3.7801360544217686
0,1,5.3920861678004535
1,1,7.023650793650794
2,1,8.665124716553288
3,1,10.288253968253969
4,1,11.900362811791384
5,1,13.513696145124717
6,1,15.135804988662132
7,1,16.804149659863945
8,1,18.39047619047619
9,1,19.92126984126984
10,1,21.525691609977326
11,1,23.129274376417232
12,1,24.723990929705217
13,1,26.317913832199547
14,1,27.90392290249433
15,1,29.497755102040816
16,1,31.066643990929705
17,1,32.633038548752836
18,1,34.2471201814059
19,1,35.85934240362812
20,1,37.48233560090703
21,1,39.01102040816327
22,1,40.587437641723355
23,1,42.156235827664396
24,1,43.677233560090706
25,1,45.29897959183673
26,1,46.94886621315193
27,1,48.58176870748299
28,1,50.18609977324263
29,1,51.79730158730159
30,1,53.39328798185941
31,1,55.01514739229025
32,1,56.60138321995465
33,1,58.23308390022676
34,1,59.82757369614512
35,1,61.45072562358277
36,1,63.03471655328798
37,1,64.65859410430839
38,1,66.2256462585034
39,1,67.83863945578231
40,1,69.41519274376417
41,1,71.02732426303855
42,1,72.64138321995465
43,1,74.18947845804989
44,1,75.78383219954648
45,1,77.35224489795918
46,1,78.94596371882086
47,1,80.45802721088435
48,1,82.06154195011338
49,1,83.61072562358277
50,1,85.17848072562359
51,1,86.7591836734694
52,1,88.27607709750566
53,1,89.84263038548752
54,1,91.34612244897959
55,1,92.91274376417233
56,1,94.45224489795919
57,1,95.97333333333333
58,1,97.55938775510204
59,1,99.08884353741496
60,1,100.61961451247166
61,1,102.13115646258504
62,1,103.67172335600907
63,1,105.21120181405895
64,1,106.8321768707483
65,1,108.41834467120181
66,1,109.99473922902494
67,1,111.51575963718821
68,1,113.1105215419501
69,1,114.6588888888889
70,1,116.20793650793651
71,1,117.76621315192743
72,1,119.3426530612245
73,1,120.93732426303855
74,1,122.4756462585034
75,1,124.05208616780045
76,1,125.60136054421768
77,1,127.18755102040816
78,1,128.69854875283445
79,1,130.2747619047619
80,1,131.85126984126984
81,1,133.34501133786847
82,1,134.9213605442177
83,1,136.44226757369614
84,1,137.94625850340137
85,1,139.5125850340136
86,1,141.10648526077097
87,1,142.6379365079365
88,1,144.1863492063492
89,1,145.68954648526076
90,1,147.20086167800454
91,1,148.62975056689342
92,1,150.15083900226756
93,1,151.68990929705217
94,1,153.19387755102042
95,1,154.74961451247165
96,1,156.31845804988663
97,1,157.84820861678006
98,1,159.36897959183673
99,1,160.8901814058957
100,1,162.43927437641725
101,1,163.96043083900227
102,1,165.48138321995464
103,1,167.06761904761905
104,1,168.6159410430839
105,1,170.17281179138322
106,1,171.73126984126984
107,1,173.27079365079365
108,1,174.77360544217686
109,1,176.3311111111111
