bar,beat,onset
1,1,0.45714285714285713
2,1,2.329387755102041
3,1,4.195442176870748
4,1,6.132267573696145
5,1,7.988548752834467
6,1,9.862675736961451
7,1,11.728979591836735
8,1,13.57798185941043
9,1,15.425487528344672
10,1,17.30160997732426
11,1,19.158730158730158
12,1,20.960566893424037
13,1,22.79206349206349
14,1,24.64920634920635
15,1,26.486031746031745
16,1,28.38795918367347
17,1,30.229160997732425
18,1,32.08648526077098
19,1,33.948095238095235
20,1,35.78934240362812
21,1,37.61174603174603
22,1,39.44863945578231
23,1,41.28079365079365
24,1,43.10784580498866
25,1,44.92770975056689
26,1,46.76326530612245
27,1,48.5730612244898
28,1,50.480226757369614
29,1,52.32151927437642
30,1,54.133968253968256
31,1,55.93605442176871
32,1,57.75757369614512
33,1,59.57004535147392
34,1,61.451519274376416
35,1,63.27390022675737
36,1,65.07598639455782
37,1,66.86265306122449
38,1,68.70038548752835
