bar,beat,onset
1,1,2.53437641723356
2,1,3.705034013605442
3,1,4.810476190476191
4,1,5.920453514739229
5,1,7.0436507936507935
6,1,8.174671201814059
7,1,9.321088435374149
8,1,10.4381179138322
9,1,11.590997732426304
10,1,12.721043083900227
11,1,13.872857142857143
12,1,14.990997732426305
13,1,16.129160997732427
14,1,17.278548752834467
15,1,18.427687074829933
16,1,19.54893424036281
17,1,20.678072562358278
18,1,21.835260770975058
19,1,22.96925170068027
20,1,24.068979591836733
21,1,25.195714285714285
22,1,26.347256235827665
23,1,27.480113378684806
24,1,28.587097505668932
25,1,29.73718820861678
26,1,30.86936507936508
27,1,32.0174149659864
28,1,33.15036281179138
29,1,34.28886621315193
30,1,35.41761904761905
31,1,36.56786848072562
32,1,37.707687074829934
33,1,38.81451247165533
34,1,39.95836734693878
