bar,beat,onset
-1,1,2.525124716553288
0,1,3.628344671201814
1,1,4.705260770975057
2,1,5.83766439909297
3,1,6.960022675736962
4,1,8.087324263038548
5,1,9.175056689342403
6,1,10.307142857142857
7,1,11.42421768707483
8,1,12.521632653061225
9,1,13.643990929705215
10,1,14.79061224489796
11,1,15.883809523809523
12,1,17.02589569160998
13,1,18.13764172335601
14,1,19.27578231292517
15,1,20.397959183673468
16,1,21.539659863945577
17,1,22.631972789115647
18,1,23.735034013605443
19,1,24.88018140589569
20,1,26.05861678004535
21,1,27.200226757369613
22,1,28.293628117913833
23,1,29.435079365079364
24,1,30.563174603174602
25,1,31.694784580498865
26,1,32.84181405895691
27,1,33.974013605442174
28,1,35.07671201814059
29,1,36.20825396825397
30,1,37.330340136054424
31,1,38.453378684807255
32,1,39.599931972789115
33,1,40.76707482993197
34,1,41.87963718820862
35,1,43.03671201814059
36,1,44.15816326530612
37,1,45.302131519274376
38,1,46.439909297052154
39,1,47.557369614512474
40,1,48.697324263038546
41,1,49.82968253968254
42,1,50.94210884353741
43,1,52.04467120181406
44,1,53.181927437641725
45,1,54.32331065759637
46,1,55.45160997732426
47,1,56.5834693877551
48,1,57.7402947845805
49,1,58.87192743764172
50,1,60.009297052154196
51,1,61.15140589569161
52,1,62.31793650793651
53,1,63.47544217687075
54,1,64.6221768707483
55,1,65.75990929705216
56,1,66.87655328798186
57,1,68.01410430839002
58,1,69.13671201814059
59,1,70.27419501133787
60,1,71.42560090702948
61,1,72.58766439909297
62,1,73.69510204081632
63,1,74.85176870748299
64,1,76.00891156462585
65,1,77.1369387755102
66,1,78.24834467120182
67,1,79.4092970521542
68,1,80.5659410430839
69,1,81.70816326530613
70,1,82.81052154195011
71,1,83.94235827664399
72,1,85.08945578231292
73,1,86.21131519274377
74,1,87.34968253968253
75,1,88.51607709750567
76,1,89.64823129251701
77,1,90.77045351473923
78,1,91.92755102040816
79,1,93.06496598639455
80,1,94.1772335600907
81,1,95.30918367346939
82,1,96.43160997732426
83,1,97.56331065759638
84,1,98.69104308390023
85,1,99.8661224489796
86,1,100.99938775510203
87,1,102.17247165532879
88,1,103.31401360544217
89,1,104.47126984126984
90,1,105.59267573696145
91,1,106.69532879818594
92,1,107.83344671201814
93,1,108.99027210884354
94,1,110.14163265306122
95,1,111.2889342403628
96,1,112.45548752834468
97,1,113.62807256235827
98,1,114.79469387755103
99,1,115.92666666666666
100,1,117.08433106575964
101,1,118.27555555555556
102,1,119.42748299319727
103,1,120.57485260770974
104,1,121.70671201814059
105,1,122.82471655328798
106,1,123.95675736961451
107,1,125.07893424036281
108,1,126.26095238095238
109,1,127.42832199546486
110,1,128.56936507936507
111,1,129.69743764172335
112,1,130.85902494331066
113,1,132.00544217687076
114,1,133.12836734693877
115,1,134.24616780045352
116,1,135.40721088435373
117,1,136.5449433106576
118,1,137.66727891156464
119,1,138.77873015873016
120,1,139.91133786848073
121,1,141.08351473922903
122,1,142.21931972789116
123,1,143.3425850340136
124,1,144.48462585034014
125,1,145.6616553287982
126,1,146.77367346938775
127,1,147.87666666666667
128,1,149.0434013605442
129,1,150.18102040816328
130,1,151.3128798185941
131,1,152.4700453514739
132,1,153.60183673469388
133,1,154.77421768707484
134,1,155.94133786848073
135,1,157.05344671201814
136,1,158.2131065759637
137,1,159.34224489795918
138,1,160.4998866213152
