bar,beat,onset
1,1,2.7689795918367346
2,1,3.5714285714285716
3,1,4.3795918367346935
4,1,5.168412698412698
5,1,5.9931519274376415
6,1,6.776689342403628
7,1,7.547936507936508
8,1,8.31641723356009
9,1,9.134897959183673
10,1,9.924625850340137
11,1,10.738752834467121
12,1,11.538503401360543
13,1,12.327414965986394
14,1,13.127097505668933
15,1,13.941179138321996
16,1,14.760498866213151
17,1,15.549433106575965
18,1,16.364263038548753
19,1,17.163242630385486
20,1,17.99546485260771
21,1,18.821292517006803
22,1,19.646122448979593
23,1,20.455374149659864
24,1,21.254240362811792
25,1,22.05390022675737
26,1,22.867868480725623
27,1,23.66938775510204
28,1,24.482380952380954
29,1,25.281632653061223
30,1,26.10612244897959
31,1,26.883673469387755
32,1,27.678344671201813
33,1,28.467959183673468
34,1,29.247120181405897
35,1,30.046938775510203
36,1,30.816848072562358
37,1,31.630907029478458
38,1,32.440340136054424
39,1,33.2530612244898
40,1,34.063265306122446
41,1,34.84328798185941
42,1,35.631020408163266
43,1,36.45172335600907
44,1,37.245827664399094
45,1,38.03582766439909
46,1,38.86390022675737
47,1,39.6530612244898
48,1,40.44335600907029
49,1,41.223083900226754
50,1,42.037120181405896
51,1,42.85607709750567
52,1,43.66108843537415
53,1,44.469569160997736
54,1,45.273106575963716
55,1,46.07421768707483
56,1,46.89795918367347
57,1,47.717233560090705
58,1,48.550884353741495
59,1,49.34820861678005
60,1,50.159183673469386
61,1,50.95510204081633
62,1,51.77469387755102
63,1,52.57750566893424
64,1,53.386054421768705
65,1,54.19532879818594
66,1,55.01387755102041
