bar,beat,onset
1,1,4.289886621315193
2,1,5.042018140589569
3,1,5.822403628117914
4,1,6.576235827664399
5,1,7.314285714285714
6,1,8.09108843537415
7,1,8.825691609977325
8,1,9.565419501133787
9,1,10.315283446712018
10,1,11.079206349206348
11,1,11.834308390022676
12,1,12.605532879818593
13,1,13.368616780045352
14,1,14.118321995464852
15,1,14.872675736961451
16,1,15.641541950113378
17,1,16.416621315192742
18,1,17.171768707482993
19,1,17.931337868480725
20,1,18.685578231292517
21,1,19.461224489795917
22,1,20.219637188208615
23,1,20.974739229024944
24,1,21.738775510204082
25,1,22.522448979591836
26,1,23.288526077097504
27,1,24.04716553287982
28,1,24.822766439909298
29,1,25.57689342403628
30,1,26.33204081632653
31,1,27.09172335600907
32,1,27.836009070294786
33,1,28.61607709750567
34,1,29.37904761904762
35,1,30.140498866213154
36,1,30.885714285714286
37,1,31.658707482993197
38,1,32.42902494331066
39,1,33.16351473922902
40,1,33.90888888888889
41,1,34.66315192743764
42,1,35.4368253968254
43,1,36.21700680272109
44,1,36.96884353741497
45,1,37.72183673469388
46,1,38.441043083900226
47,1,39.20689342403628
48,1,39.955895691609975
49,1,40.73517006802721
50,1,41.509727891156466
51,1,42.24081632653061
52,1,43.0040589569161
53,1,43.76734693877551
54,1,44.523151927437645
55,1,45.25748299319728
56,1,46.03775510204082
57,1,46.79195011337868
58,1,47.537120181405896
59,1,48.294603174603175
60,1,49.03473922902494
61,1,49.783582766439906
62,1,50.5556462585034
63,1,51.33641723356009
64,1,52.099773242630384
65,1,52.8108843537415
66,1,53.57424036281179
67,1,54.34362811791383
68,1,55.12244897959184
69,1,55.877369614512475
70,1,56.668027210884354
71,1,57.43206349206349
72,1,58.19145124716553
73,1,58.910204081632656
74,1,59.68163265306122
75,1,60.42122448979592
76,1,61.19027210884354
77,1,61.92485260770975
78,1,62.68004535147392
79,1,63.4
80,1,64.13469387755102
81,1,64.86922902494331
82,1,65.6021768707483
83,1,66.32963718820862
84,1,67.0734693877551
85,1,67.78344671201815
86,1,68.53861678004534
87,1,69.31773242630385
88,1,70.06219954648526
89,1,70.78780045351473
90,1,71.53215419501134
91,1,72.29700680272109
92,1,73.04140589569161
93,1,73.75730158730158
94,1,74.46639455782314
95,1,75.19172335600906
96,1,75.94086167800454
97,1,76.68145124716553
98,1,77.43560090702948
99,1,78.18739229024943
100,1,78.9155328798186
101,1,79.6697052154195
102,1,80.45961451247166
103,1,81.19426303854875
104,1,81.93961451247165
105,1,82.68392290249433
106,1,83.41861678004535
107,1,84.16385487528345
108,1,84.91784580498866
109,1,85.69823129251701
110,1,86.45235827664399
111,1,87.18512471655329
112,1,87.9418820861678
113,1,88.67650793650793
114,1,89.43455782312925
115,1,90.20097505668934
116,1,90.94532879818594
117,1,91.68077097505669
118,1,92.3902947845805
119,1,93.13467120181406
120,1,93.90523809523809
121,1,94.64387755102041
122,1,95.40446712018141
123,1,96.13918367346939
124,1,96.89324263038549
125,1,97.63857142857142
126,1,98.38297052154195
127,1,99.13759637188208
128,1,99.89770975056689
129,1,100.66163265306122
130,1,101.42650793650793
131,1,102.18609977324263
