bar,beat,onset
1,1,4.142857142857143
2,1,5.666530612244898
3,1,7.200770975056689
4,1,8.735056689342404
5,1,10.269387755102041
6,1,11.788321995464853
7,1,13.312879818594105
8,1,14.820136054421768
9,1,16.35156462585034
10,1,17.895374149659865
11,1,19.413469387755104
12,1,20.93766439909297
13,1,22.44265306122449
14,1,23.95172335600907
15,1,25.456666666666667
16,1,26.975668934240364
17,1,28.514444444444443
18,1,30.023650793650795
19,1,31.532947845804987
20,1,33.03777777777778
21,1,34.57195011337868
22,1,36.08648526077098
23,1,37.60467120181406
24,1,39.154263038548756
25,1,40.66394557823129
26,1,42.19750566893424
27,1,43.77634920634921
28,1,45.291065759637185
29,1,46.80922902494331
30,1,48.34342403628118
31,1,49.85786848072562
32,1,51.37238095238095
33,1,52.88160997732426
34,1,54.45088435374149
35,1,55.96539682539682
36,1,57.4992970521542
37,1,59.01834467120182
38,1,60.577460317460314
39,1,62.091972789115644
40,1,63.600249433106576
41,1,65.13448979591837
42,1,66.7037641723356
43,1,68.23784580498867
44,1,69.762358276644
45,1,71.30632653061224
46,1,72.82990929705215
47,1,74.36399092970521
48,1,75.89151927437642
49,1,77.42274376417234
50,1,79.001179138322
51,1,80.56487528344671
52,1,82.11428571428571
53,1,83.6408843537415
54,1,85.18290249433106
55,1,86.72596371882086
56,1,88.26036281179138
57,1,89.78471655328798
58,1,91.31895691609978
59,1,92.87274376417234
60,1,94.44197278911565
61,1,96.00115646258503
62,1,97.55283446712018
63,1,99.10204081632654
64,1,100.66122448979591
65,1,102.22657596371882
66,1,103.78997732426303
67,1,105.34909297052154
68,1,106.89308390022676
69,1,108.42557823129252
70,1,109.97678004535148
71,1,111.54285714285714
72,1,113.07437641723357
73,1,114.63362811791383
74,1,116.21249433106576
