bar,beat,onset
1,1,0.46748299319727893
2,1,1.9940136054421769
3,1,3.5314739229024945
4,1,5.13984126984127
5,1,6.728253968253968
6,1,8.3418820861678
7,1,9.966848072562358
8,1,11.580634920634921
9,1,13.20421768707483
10,1,14.83750566893424
11,1,16.4359410430839
12,1,18.04981859410431
13,1,19.62857142857143
14,1,21.242131519274377
15,1,22.830975056689343
16,1,24.390294784580497
17,1,26.03326530612245
18,1,27.666621315192742
19,1,29.27045351473923
20,1,30.85918367346939
21,1,32.428072562358274
22,1,34.047437641723356
23,1,35.64609977324263
24,1,37.21489795918367
25,1,38.79387755102041
26,1,40.38274376417233
27,1,41.94167800453515
28,1,43.53056689342404
29,1,45.089795918367344
30,1,46.68825396825397
31,1,48.24750566893424
32,1,49.84612244897959
33,1,51.424784580498866
34,1,53.0287074829932
35,1,54.65201814058957
36,1,56.21562358276644
37,1,57.75530612244898
38,1,59.34419501133787
39,1,60.87854875283447
40,1,62.45732426303855
41,1,64.02648526077097
42,1,65.61507936507937
43,1,67.18385487528344
44,1,68.76283446712019
45,1,70.31292517006803
