bar,beat,onset
-3,1,1.346938775510204
-2,1,2.2448979591836733
-1,1,3.2345124716553286
0,1,4.1740589569161
1,1,5.188344671201814
2,1,6.146802721088435
3,1,7.123469387755102
4,1,8.055192743764172
5,1,8.967687074829932
6,1,9.889546485260771
7,1,10.792335600907029
8,1,11.759773242630386
9,1,12.64326530612245
10,1,13.594013605442177
11,1,14.581473922902495
12,1,15.502993197278911
13,1,16.425351473922902
14,1,17.300521541950115
15,1,18.25859410430839
16,1,19.245578231292516
17,1,20.19455782312925
18,1,21.13453514739229
19,1,22.07421768707483
20,1,23.03421768707483
21,1,24.019002267573697
22,1,24.996575963718822
23,1,25.945691609977324
24,1,26.933038548752833
25,1,27.862789115646258
26,1,28.813015873015875
27,1,29.752607709750567
28,1,30.72235827664399
29,1,31.652562358276644
30,1,32.611609977324264
31,1,33.5518820861678
32,1,34.52902494331066
33,1,35.45868480725623
34,1,36.428548752834466
35,1,37.38600907029478
36,1,38.37319727891156
37,1,39.33074829931973
38,1,40.29959183673469
39,1,41.25750566893424
40,1,42.25219954648526
41,1,43.239433106575966
42,1,44.22659863945578
43,1,45.1941723356009
44,1,46.123718820861676
45,1,47.07399092970522
46,1,48.013492063492066
47,1,48.96344671201814
48,1,49.96027210884354
49,1,50.90829931972789
50,1,51.885555555555555
51,1,52.871972789115645
52,1,53.867551020408165
53,1,54.83498866213152
54,1,55.77628117913832
55,1,56.69641723356009
56,1,57.693333333333335
57,1,58.64365079365079
58,1,59.61027210884354
59,1,60.56925170068027
60,1,61.573514739229026
61,1,62.519727891156464
62,1,63.448526077097505
63,1,64.34249433106577
64,1,65.30031746031746
65,1,66.25814058956917
