bar,beat,onset
0,1,1.8634920634920635
1,1,2.898548752834467
2,1,3.960566893424036
3,1,5.069546485260771
4,1,6.149297052154195
5,1,7.260884353741496
6,1,8.371269841269841
7,1,9.44312925170068
8,1,10.509841269841269
9,1,11.615396825396825
10,1,12.697755102040816
11,1,13.795714285714286
12,1,14.883764172335601
13,1,15.981836734693877
14,1,17.050408163265306
15,1,18.156031746031747
16,1,19.22596371882086
17,1,20.298390022675736
18,1,21.39371882086168
19,1,22.47580498866213
20,1,23.52108843537415
21,1,24.62857142857143
22,1,25.701609977324264
23,1,26.80090702947846
24,1,27.884149659863947
25,1,28.980181405895692
26,1,30.102585034013604
27,1,31.139931972789114
28,1,32.272063492063495
29,1,33.3795918367347
30,1,34.46591836734694
31,1,35.520430839002266
32,1,36.57791383219955
33,1,37.69387755102041
34,1,38.77995464852608
35,1,39.86496598639456
36,1,40.97761904761905
37,1,42.06156462585034
38,1,43.20385487528345
39,1,44.33575963718821
40,1,45.434829931972786
41,1,46.51020408163265
42,1,47.55260770975057
43,1,48.63410430839002
44,1,49.76578231292517
45,1,50.841972789115644
46,1,51.927891156462586
47,1,52.98369614512472
48,1,54.06340136054422
49,1,55.15269841269841
50,1,56.25414965986395
51,1,57.367823129251704
52,1,58.50666666666667
53,1,59.57557823129252
54,1,60.68571428571428
55,1,61.781995464852606
56,1,62.85961451247166
57,1,63.955510204081634
58,1,65.02031746031746
59,1,66.13124716553288
60,1,67.23673469387755
61,1,68.34965986394558
62,1,69.44761904761904
63,1,70.56392290249433
64,1,71.67412698412699
65,1,72.7469387755102
