bar,beat,onset
-1,1,2.86984126984127
0,1,3.8275963718820862
1,1,4.786031746031746
2,1,5.793356009070295
3,1,6.806349206349206
4,1,7.809659863945578
5,1,8.771337868480726
6,1,9.73079365079365
7,1,10.753492063492063
8,1,11.766303854875284
9,1,12.753378684807256
10,1,13.748775510204082
11,1,14.789092970521542
12,1,15.792312925170068
13,1,16.782222222222224
14,1,17.79229024943311
15,1,18.810544217687074
16,1,19.79310657596372
17,1,20.816757369614514
18,1,21.804489795918368
19,1,22.79156462585034
20,1,23.769614512471655
21,1,24.738049886621315
22,1,25.76074829931973
23,1,26.728820861678006
24,1,27.741836734693877
25,1,28.718979591836735
26,1,29.722267573696143
27,1,30.719795918367346
28,1,31.73269841269841
29,1,32.74578231292517
30,1,33.72390022675737
31,1,34.69641723356009
32,1,35.66331065759637
33,1,36.701292517006806
