bar,beat,onset
1,1,3.6699773242630385
2,1,4.841360544217687
3,1,6.03265306122449
4,1,7.254716553287982
5,1,8.45625850340136
6,1,9.668231292517007
7,1,10.879569160997733
8,1,12.073469387755102
9,1,13.26732426303855
10,1,14.459659863945578
11,1,15.680748299319728
12,1,16.883197278911563
13,1,18.089795918367347
14,1,19.30562358276644
15,1,20.507256235827665
16,1,21.689160997732426
17,1,22.91104308390023
18,1,24.09215419501134
19,1,25.289024943310658
20,1,26.490385487528346
21,1,27.683378684807256
22,1,28.88562358276644
23,1,30.059183673469388
24,1,31.22780045351474
25,1,32.43909297052154
26,1,33.64063492063492
27,1,34.87755102040816
28,1,36.083514739229024
29,1,37.25648526077097
30,1,38.457800453514736
31,1,39.63451247165533
32,1,40.82648526077097
33,1,42.04707482993197
34,1,43.27619047619048
35,1,44.489433106575966
36,1,45.70557823129252
37,1,46.88421768707483
38,1,48.09433106575964
39,1,49.296961451247164
40,1,50.52764172335601
41,1,51.71049886621315
42,1,52.94691609977324
43,1,54.15823129251701
44,1,55.3795918367347
45,1,56.55671201814059
46,1,57.767755102040816
47,1,58.97916099773243
48,1,60.19596371882086
49,1,61.37226757369614
50,1,62.58437641723356
51,1,63.8058276643991
52,1,65.00725623582767
53,1,66.19873015873016
54,1,67.3912925170068
55,1,68.62219954648526
56,1,69.81079365079366
57,1,71.00022675736962
58,1,72.23755102040816
59,1,73.44868480725624
60,1,74.65036281179138
61,1,75.84204081632653
62,1,77.02918367346939
63,1,78.25015873015873
64,1,79.46142857142857
65,1,80.66857142857143
