bar,beat,onset
0,1,3.526530612244898
1,1,4.478548752834467
2,1,5.480725623582766
3,1,6.4354195011337865
4,1,7.426530612244898
5,1,8.404081632653062
6,1,9.377619047619048
7,1,10.346938775510203
8,1,11.337142857142856
9,1,12.318185941043083
10,1,13.292154195011339
11,1,14.257142857142858
12,1,15.216326530612244
13,1,16.19233560090703
14,1,17.1840589569161
15,1,18.16371882086168
16,1,19.162267573696145
17,1,20.120090702947845
18,1,21.106938775510205
19,1,22.044444444444444
20,1,23.012743764172335
21,1,23.99591836734694
22,1,24.972131519274377
23,1,25.950861678004536
24,1,26.95875283446712
25,1,27.906961451247167
26,1,28.885714285714286
27,1,29.87827664399093
28,1,30.86530612244898
29,1,31.8734693877551
30,1,32.87655328798186
31,1,33.857142857142854
32,1,34.84154195011338
33,1,35.80625850340136
