bar,beat,onset
0,1,2.136780045351474
1,1,3.3436734693877552
2,1,4.555827664399093
3,1,5.754013605442177
4,1,6.976825396825397
5,1,8.188253968253969
6,1,9.401700680272109
7,1,10.573945578231292
8,1,11.788208616780045
9,1,13.011065759637189
10,1,14.24702947845805
11,1,15.457573696145126
12,1,16.67340136054422
13,1,17.852222222222224
14,1,19.066009070294786
15,1,20.26281179138322
16,1,21.48780045351474
17,1,22.712063492063493
18,1,23.94356009070295
19,1,25.171972789115646
20,1,26.352857142857143
21,1,27.556190476190476
22,1,28.771428571428572
23,1,30.023628117913834
24,1,31.252539682539684
25,1,32.479115646258506
26,1,33.71884353741497
27,1,34.933514739229025
28,1,36.194104308390024
29,1,37.42065759637188
30,1,38.62281179138322
31,1,39.88607709750567
32,1,41.123492063492066
33,1,42.363832199546486
34,1,43.59478458049887
