bar,beat,onset
1,1,4.214671201814059
2,1,6.052154195011338
3,1,8.00201814058957
4,1,9.938662131519274
5,1,11.855827664399094
6,1,13.785963718820861
7,1,15.712607709750566
8,1,17.663265306122447
9,1,19.56984126984127
10,1,21.516462585034013
11,1,23.446893424036283
12,1,25.34875283446712
13,1,27.27004535147392
14,1,29.225192743764172
15,1,31.222380952380952
16,1,33.14301587301587
17,1,35.054421768707485
18,1,36.99068027210885
19,1,38.91167800453515
20,1,40.822539682539684
21,1,42.749478458049886
22,1,44.63519274376417
23,1,46.606643990929705
24,1,48.5378231292517
25,1,50.42886621315193
26,1,52.34040816326531
27,1,54.24226757369615
28,1,56.187891156462584
29,1,58.089183673469385
30,1,60.060544217687074
31,1,61.94630385487528
32,1,63.85784580498866
33,1,65.76931972789116
34,1,67.67589569160998
35,1,69.62657596371882
36,1,71.5084126984127
37,1,73.42013605442177
38,1,75.32068027210885
39,1,77.2420634920635
40,1,79.14938775510204
41,1,81.04489795918367
42,1,82.92707482993197
43,1,84.81356009070295
44,1,86.69482993197279
45,1,88.59687074829932
46,1,90.46253968253968
47,1,92.3741723356009
48,1,94.26600907029479
49,1,96.16764172335601
50,1,98.07875283446712
51,1,99.99920634920635
52,1,101.90616780045352
53,1,103.79226757369615
54,1,105.67437641723356
55,1,107.57036281179138
56,1,109.44244897959183
57,1,111.34421768707483
58,1,113.26444444444445
59,1,115.21088435374149
60,1,117.09312925170067
61,1,119.0242403628118
62,1,120.90598639455783
63,1,122.78192743764173
64,1,124.70836734693877
65,1,126.59455782312925
66,1,128.4866439909297
67,1,130.37802721088434
68,1,132.28956916099773
69,1,134.16548752834467
70,1,136.09192743764171
71,1,138.00380952380954
72,1,139.86954648526077
73,1,141.73655328798185
74,1,143.6729931972789
75,1,145.5935827664399
76,1,147.4758276643991
77,1,149.4063038548753
78,1,151.28820861678005
79,1,153.20943310657597
80,1,155.14591836734695
81,1,157.07648526077097
