bar,beat,onset
1,1,3.3610884353741497
2,1,4.304399092970521
3,1,5.281632653061225
4,1,6.299387755102041
5,1,7.287437641723356
6,1,8.300272108843538
7,1,9.31326530612245
8,1,10.298049886621316
9,1,11.278458049886622
10,1,12.271632653061225
11,1,13.287619047619048
12,1,14.31705215419501
13,1,15.290340136054422
14,1,16.24823129251701
15,1,17.261201814058957
16,1,18.229637188208617
17,1,19.261065759637187
18,1,20.241315192743762
19,1,21.279501133786848
20,1,22.2521768707483
21,1,23.22061224489796
22,1,24.232562358276645
23,1,25.235873015873015
24,1,26.24875283446712
25,1,27.271836734693878
26,1,28.293514739229025
27,1,29.261224489795918
28,1,30.255986394557823
29,1,31.224580498866214
30,1,32.22721088435374
31,1,33.19004535147392
32,1,34.158684807256236
33,1,35.180839002267575
34,1,36.12972789115646
35,1,37.12691609977324
36,1,38.13977324263038
37,1,39.1278231292517
38,1,40.10956916099773
39,1,41.08412698412698
40,1,42.067460317460316
41,1,43.05446712018141
42,1,44.0172335600907
43,1,45.00079365079365
44,1,45.998344671201814
45,1,47.03124716553288
46,1,47.98975056689343
47,1,48.982834467120185
48,1,49.96047619047619
49,1,50.93904761904762
50,1,51.90179138321995
51,1,52.86952380952381
52,1,53.86938775510204
53,1,54.850634920634924
54,1,55.84848072562358
55,1,56.8165306122449
56,1,57.77510204081633
57,1,58.7627664399093
58,1,59.720884353741496
59,1,60.689138321995465
60,1,61.73206349206349
61,1,62.72947845804989
62,1,63.731814058956914
63,1,64.72968253968254
64,1,65.70333333333333
65,1,66.67539682539683
66,1,67.67913832199547
67,1,68.63671201814059
68,1,69.65022675736961
69,1,70.66755102040817
70,1,71.65108843537415
71,1,72.67845804988661
72,1,73.65192743764172
73,1,74.6291156462585
74,1,75.62673469387755
75,1,76.59555555555555
76,1,77.56367346938775
77,1,78.56092970521541
78,1,79.52893424036282
79,1,80.53210884353742
80,1,81.54548752834467
81,1,82.49743764172335
82,1,83.44090702947845
83,1,84.43421768707483
84,1,85.43151927437641
85,1,86.45437641723356
86,1,87.41308390022675
87,1,88.38136054421769
88,1,89.38845804988662
89,1,90.40154195011338
90,1,91.37891156462585
91,1,92.31793650793651
92,1,93.30571428571429
93,1,94.2837641723356
94,1,95.2522902494331
95,1,96.22038548752835
96,1,97.21764172335601
97,1,98.18628117913832
98,1,99.18918367346939
99,1,100.16133786848073
100,1,101.11975056689343
101,1,102.10807256235827
102,1,103.06569160997732
103,1,104.03417233560091
104,1,105.00238095238095
105,1,105.97090702947845
106,1,106.93358276643991
107,1,107.88163265306123
108,1,108.84997732426304
109,1,109.82791383219954
110,1,110.7960544217687
111,1,111.8137641723356
112,1,112.79113378684808
113,1,113.73040816326531
114,1,114.69857142857143
115,1,115.68673469387755
116,1,116.65410430839002
117,1,117.60907029478459
118,1,118.55013605442177
119,1,119.53340136054422
120,1,120.50201814058957
121,1,121.4892970521542
122,1,122.4581179138322
