bar,beat,onset
0,1,1.0173242630385488
1,1,2.073469387755102
2,1,3.061156462585034
3,1,4.095804988662132
4,1,5.114195011337869
5,1,6.101587301587301
6,1,7.12641723356009
7,1,8.166349206349206
8,1,9.149478458049886
9,1,10.110249433106576
10,1,11.176530612244898
11,1,12.174421768707482
12,1,13.16814058956916
13,1,14.172925170068027
14,1,15.201292517006802
15,1,16.185986394557823
16,1,17.1637641723356
17,1,18.15671201814059
18,1,19.17628117913832
19,1,20.142607709750568
20,1,21.17514739229025
21,1,22.181428571428572
22,1,23.200204081632652
23,1,24.200589569160996
24,1,25.185442176870747
25,1,26.163560090702948
26,1,27.1559410430839
27,1,28.14154195011338
28,1,29.144263038548754
29,1,30.106507936507935
30,1,31.111791383219956
31,1,32.124489795918365
32,1,33.16326530612245
33,1,34.14358276643991
34,1,35.17242630385488
35,1,36.16519274376417
36,1,37.165351473922904
37,1,38.164920634920634
38,1,39.14197278911565
39,1,40.10718820861678
40,1,41.11424036281179
41,1,42.09795918367347
42,1,43.075873015873015
43,1,44.106145124716555
44,1,45.11807256235828
45,1,46.08
46,1,47.02968253968254
47,1,47.98825396825397
48,1,48.953061224489794
49,1,49.957732426303856
50,1,50.94024943310657
51,1,51.943492063492066
52,1,52.90185941043084
53,1,53.91743764172335
54,1,54.94857142857143
55,1,55.91356009070295
56,1,56.916485260770976
57,1,57.873560090702945
58,1,58.843990929705214
59,1,59.87755102040816
60,1,60.897233560090704
61,1,61.90011337868481
62,1,62.874535147392294
63,1,63.88267573696145
64,1,64.85306122448979
65,1,65.87755102040816
66,1,66.86340136054422
67,1,67.87612244897959
68,1,68.83310657596373
69,1,69.83501133786848
70,1,70.7995238095238
71,1,71.81807256235828
72,1,72.80662131519274
73,1,73.78369614512472
74,1,74.76256235827664
75,1,75.80816326530612
76,1,76.80453514739229
77,1,77.77521541950114
78,1,78.7589342403628
79,1,79.73040816326531
80,1,80.76204081632653
81,1,81.78643990929706
82,1,82.77222222222223
83,1,83.75825396825397
84,1,84.7485941043084
85,1,85.74253968253969
86,1,86.72151927437642
87,1,87.70569160997732
88,1,88.66716553287982
89,1,89.57888888888888
90,1,90.56680272108844
91,1,91.62916099773243
92,1,92.61904761904762
93,1,93.61807256235828
94,1,94.60834467120182
95,1,95.56312925170069
96,1,96.53678004535148
97,1,97.51739229024943
98,1,98.5449433106576
99,1,99.56895691609978
100,1,100.57408163265306
101,1,101.56419501133787
102,1,102.56213151927437
103,1,103.5253514739229
104,1,104.50573696145125
105,1,105.51068027210884
106,1,106.52199546485261
107,1,107.47859410430839
108,1,108.48115646258503
109,1,109.44383219954649
