bar,beat,onset
0,1,2.0653061224489795
1,1,4.0344671201814055
2,1,6.069115646258504
3,1,8.114761904761904
4,1,10.123287981859411
5,1,12.158548752834466
6,1,14.174716553287983
7,1,16.109637188208616
8,1,18.129659863945577
9,1,20.086689342403627
10,1,22.1159410430839
11,1,24.115283446712017
12,1,26.136575963718823
13,1,28.167709750566893
14,1,30.18668934240363
15,1,32.19596371882086
16,1,34.2
17,1,36.165079365079364
18,1,38.12848072562358
19,1,40.12698412698413
20,1,42.15888888888889
21,1,44.167256235827665
22,1,46.158367346938775
23,1,48.15528344671202
24,1,50.07092970521542
25,1,52.03410430839002
26,1,54.04356009070295
