bar,beat,onset
1,1,11.905895691609977
2,1,13.980521541950113
3,1,16.03278911564626
4,1,18.075419501133787
5,1,20.131700680272107
6,1,22.167165532879817
7,1,24.243061224489797
8,1,26.299501133786848
9,1,28.335260770975058
10,1,30.38702947845805
11,1,32.429319727891155
12,1,34.437709750566896
13,1,36.4756462585034
14,1,38.51024943310657
15,1,40.575260770975056
16,1,42.65065759637188
17,1,44.69789115646258
18,1,46.74111111111111
19,1,48.77092970521542
20,1,50.83469387755102
21,1,52.90086167800454
22,1,55.00274376417234
23,1,57.00260770975056
24,1,59.06122448979592
25,1,61.120385487528345
26,1,63.16972789115646
27,1,65.25426303854876
28,1,67.28503401360544
29,1,69.30578231292517
30,1,71.33061224489796
31,1,73.37827664399093
32,1,75.38714285714286
33,1,77.43095238095238
34,1,79.42857142857143
35,1,81.44689342403628
36,1,83.45727891156463
37,1,85.50827664399092
38,1,87.46501133786848
39,1,89.44265306122449
40,1,91.45104308390023
41,1,93.47281179138322
42,1,95.50412698412698
43,1,97.48117913832199
44,1,99.50056689342404
45,1,101.5524716553288
46,1,103.62562358276644
47,1,105.6472335600907
48,1,107.72235827664399
49,1,109.71945578231292
50,1,111.71845804988662
51,1,113.79233560090702
52,1,115.79126984126984
53,1,117.86433106575964
54,1,119.88675736961451
55,1,121.93614512471655
56,1,123.98827664399093
57,1,126.0118820861678
58,1,128.05993197278912
59,1,130.14537414965986
60,1,132.17573696145124
61,1,134.21848072562358
62,1,136.2480725623583
63,1,138.3457596371882
64,1,140.428231292517
65,1,142.48002267573696
66,1,144.55285714285714
67,1,146.5950566893424
68,1,148.64712018140588
69,1,150.6677777777778
70,1,152.6421768707483
71,1,154.69641723356008
72,1,156.73857142857142
73,1,158.72950113378684
74,1,160.70467120181405
75,1,162.75619047619048
76,1,164.7767573696145
77,1,166.75460317460318
78,1,168.76437641723356
79,1,170.762358276644
80,1,172.760589569161
81,1,174.79308390022675
82,1,176.81251700680272
83,1,178.82106575963718
84,1,180.88489795918366
85,1,182.9366439909297
86,1,184.93544217687074
87,1,187.02959183673468
