bar,beat,onset
1,1,0.6571428571428571
2,1,1.5782312925170068
3,1,2.4988662131519273
4,1,3.407482993197279
5,1,4.317324263038548
6,1,5.214353741496598
7,1,6.11344671201814
8,1,6.991519274376417
9,1,7.869319727891156
10,1,8.76984126984127
11,1,9.661496598639456
12,1,10.571133786848073
13,1,11.441632653061225
14,1,12.356598639455783
15,1,13.264036281179138
16,1,14.15312925170068
17,1,15.052131519274376
18,1,15.954104308390022
19,1,16.854648526077096
20,1,17.737732426303854
21,1,18.63879818594104
22,1,19.549773242630387
23,1,20.432426303854875
24,1,21.347052154195012
25,1,22.265034013605444
26,1,23.20496598639456
27,1,24.044263038548753
28,1,24.98074829931973
29,1,25.90244897959184
30,1,26.78857142857143
31,1,27.664897959183673
32,1,28.53297052154195
33,1,29.400657596371882
34,1,30.28968253968254
35,1,31.16392290249433
36,1,32.056938775510204
37,1,32.957142857142856
38,1,33.87462585034014
39,1,34.72916099773243
40,1,35.64643990929705
41,1,36.499863945578234
42,1,37.408095238095235
43,1,38.313537414965985
44,1,39.195079365079366
45,1,40.06603174603175
46,1,40.93714285714286
47,1,41.82122448979592
48,1,42.74482993197279
49,1,43.62437641723356
50,1,44.53875283446712
51,1,45.40614512471655
52,1,46.29142857142857
53,1,47.18349206349206
54,1,48.091360544217686
55,1,48.9802947845805
56,1,49.89977324263039
57,1,50.771133786848075
58,1,51.680521541950114
59,1,52.56659863945578
60,1,53.476893424036284
61,1,54.370566893424034
62,1,55.24920634920635
63,1,56.16637188208617
64,1,57.054149659863945
