bar,beat,onset
-2,1,3.7872789115646257
-1,1,5.187755102040816
0,1,6.579863945578231
1,1,8.020408163265307
2,1,9.409591836734695
3,1,10.878548752834467
4,1,12.35954648526077
5,1,13.821678004535148
6,1,15.264263038548753
7,1,16.70190476190476
8,1,18.15893424036281
9,1,19.624807256235826
10,1,21.073197278911564
11,1,22.536870748299318
12,1,24.00360544217687
13,1,25.459750566893423
14,1,26.917891156462584
15,1,28.35451247165533
16,1,29.785396825396827
17,1,31.2134693877551
18,1,32.68791383219955
19,1,34.13541950113379
20,1,35.59233560090703
21,1,37.00816326530612
22,1,38.441655328798184
23,1,39.86077097505669
24,1,41.28877551020408
25,1,42.69859410430839
26,1,44.128185941043085
27,1,45.55689342403628
28,1,47.00532879818594
29,1,48.440816326530616
30,1,49.84492063492063
31,1,51.28126984126984
32,1,52.710204081632654
33,1,54.1218820861678
34,1,55.569410430839
35,1,57.03616780045351
36,1,58.426984126984124
37,1,59.84072562358276
