bar,beat,onset
1,1,2.393015873015873
2,1,3.3639909297052153
3,1,4.3363265306122445
4,1,5.342539682539683
5,1,6.3651700680272105
6,1,7.398185941043084
7,1,8.411655328798187
8,1,9.419455782312925
9,1,10.451882086167801
10,1,11.47079365079365
11,1,12.52310657596372
12,1,13.555986394557824
13,1,14.514875283446711
14,1,15.572902494331066
15,1,16.614331065759636
16,1,17.637301587301586
17,1,18.604988662131518
18,1,19.629160997732427
19,1,20.632562358276644
20,1,21.700249433106578
21,1,22.742766439909296
22,1,23.746031746031747
23,1,24.759138321995465
24,1,25.78235827664399
25,1,26.801632653061226
26,1,27.818639455782314
27,1,28.796167800453514
28,1,29.828843537414965
29,1,30.84215419501134
30,1,31.859705215419503
31,1,32.85913832199547
32,1,33.906938775510206
33,1,34.9440589569161
