bar,beat,onset
0,1,3.2127210884353743
1,1,4.402993197278912
2,1,5.6289795918367345
3,1,6.818253968253968
4,1,8.017120181405895
5,1,9.214920634920635
6,1,10.423582766439909
7,1,11.62108843537415
8,1,12.795918367346939
9,1,14.000362811791383
10,1,15.180884353741497
11,1,16.388662131519276
12,1,17.58628117913832
13,1,18.80265306122449
14,1,19.993015873015874
15,1,21.183356009070295
16,1,22.38136054421769
17,1,23.569342403628117
18,1,24.76800453514739
19,1,25.958367346938775
20,1,27.12904761904762
21,1,28.30952380952381
22,1,29.50764172335601
23,1,30.697823129251702
24,1,31.8859410430839
25,1,33.06671201814059
26,1,34.26544217687075
27,1,35.49072562358277
28,1,36.68943310657596
29,1,37.879886621315194
30,1,39.0775283446712
31,1,40.30358276643991
32,1,41.48369614512472
33,1,42.69387755102041
34,1,43.881791383219955
35,1,45.073469387755104
36,1,46.26090702947846
37,1,47.45875283446712
38,1,48.647891156462585
39,1,49.83734693877551
40,1,51.00807256235828
41,1,52.206757369614515
42,1,53.404603174603174
43,1,54.61303854875283
44,1,55.7837641723356
45,1,56.964444444444446
46,1,58.13426303854875
47,1,59.324444444444445
48,1,60.55052154195011
49,1,61.748390022675736
50,1,62.956870748299316
51,1,64.14718820861678
52,1,65.36351473922902
53,1,66.54378684807256
54,1,67.778820861678
55,1,68.97142857142858
56,1,70.18551020408164
57,1,71.38326530612245
58,1,72.59210884353742
59,1,73.76326530612245
60,1,74.97551020408163
61,1,76.16843537414967
62,1,77.37700680272108
63,1,78.55748299319728
64,1,79.77360544217687
65,1,80.9531746031746
66,1,82.17174603174603
67,1,83.36952380952381
68,1,84.567641723356
69,1,85.76646258503402
70,1,86.96437641723357
71,1,88.14462585034013
72,1,89.3347619047619
73,1,90.53383219954648
74,1,91.74133786848073
75,1,92.92975056689342
76,1,94.11988662131519
77,1,95.33625850340137
78,1,96.52659863945578
79,1,97.7469387755102
80,1,98.94201814058957
81,1,100.13095238095238
82,1,101.34834467120182
83,1,102.53632653061224
84,1,103.73528344671202
85,1,104.9265306122449
86,1,106.14165532879818
87,1,107.34943310657596
88,1,108.55789115646259
89,1,109.77142857142857
90,1,110.96351473922903
91,1,112.15380952380953
92,1,113.37018140589569
93,1,114.57959183673469
94,1,115.76684807256235
95,1,116.94714285714285
96,1,118.15501133786849
97,1,119.3525850340136
98,1,120.58092970521542
99,1,121.77877551020408
100,1,122.99519274376418
101,1,124.23106575963719
102,1,125.44848072562358
103,1,126.64655328798186
104,1,127.8724716553288
105,1,129.070589569161
106,1,130.28571428571428
107,1,131.4868707482993
108,1,132.68467120181407
109,1,133.91061224489795
110,1,135.118231292517
111,1,136.31920634920635
112,1,137.55303854875282
113,1,138.7334013605442
114,1,139.96848072562358
115,1,141.15879818594104
116,1,142.40226757369615
117,1,143.5795918367347
118,1,144.77321995464854
119,1,145.96124716553288
120,1,147.16979591836736
121,1,148.36795918367346
122,1,149.5856009070295
123,1,150.77142857142857
124,1,151.98238095238096
125,1,153.19183673469388
126,1,154.39854875283447
127,1,155.6061224489796
128,1,156.84489795918367
129,1,158.0300680272109
130,1,159.2561224489796
131,1,160.46385487528346
132,1,161.68990929705217
133,1,162.88888888888889
134,1,164.10630385487528
