bar,beat,onset
1,1,2.416326530612245
2,1,3.7361224489795917
3,1,4.992607709750567
4,1,6.258299319727891
5,1,7.5140816326530615
6,1,8.795873015873015
7,1,10.01687074829932
8,1,11.31750566893424
9,1,12.539614512471655
10,1,13.846077097505669
11,1,15.140907029478457
12,1,16.377142857142857
13,1,17.61453514739229
14,1,18.92519274376417
15,1,20.171020408163265
16,1,21.437460317460317
17,1,22.98140589569161
18,1,24.217755102040815
19,1,25.483945578231292
20,1,26.739750566893424
21,1,28.011746031746032
22,1,29.29675736961451
23,1,30.568616780045353
24,1,31.853786848072563
25,1,33.04648526077097
26,1,34.28299319727891
27,1,35.59394557823129
28,1,36.84956916099773
29,1,38.09634920634921
30,1,39.3875283446712
31,1,40.598185941043084
32,1,41.83956916099773
33,1,43.01163265306123
34,1,44.278072562358275
35,1,45.588095238095235
36,1,46.86993197278912
37,1,48.1159410430839
38,1,49.34734693877551
39,1,50.61272108843537
40,1,51.83068027210884
41,1,53.08111111111111
42,1,54.36229024943311
43,1,55.56390022675737
44,1,56.78469387755102
45,1,58.041496598639455
46,1,59.277687074829934
47,1,60.47004535147392
48,1,61.69095238095238
49,1,62.956916099773245
50,1,64.21331065759637
51,1,65.42476190476191
52,1,66.65113378684808
53,1,67.8534693877551
54,1,69.06485260770975
55,1,70.32056689342403
56,1,71.51750566893423
57,1,72.75315192743764
58,1,74.03492063492064
59,1,75.26122448979592
60,1,76.45809523809524
61,1,77.74927437641723
62,1,78.97015873015873
63,1,80.17235827664399
64,1,81.391768707483
