bar,beat,onset
1,1,2.385578231292517
2,1,3.9677097505668932
3,1,5.548140589569161
4,1,7.114648526077097
5,1,8.655238095238095
6,1,10.224489795918368
7,1,11.808208616780046
8,1,13.38469387755102
9,1,14.96111111111111
10,1,16.490362811791382
11,1,18.076371882086168
12,1,19.65299319727891
13,1,21.229433106575964
14,1,22.79612244897959
15,1,24.36485260770975
16,1,25.9215873015873
17,1,27.487981859410432
18,1,29.07392290249433
19,1,30.676462585034013
20,1,32.22639455782313
21,1,33.82283446712018
22,1,35.39943310657596
23,1,36.993265306122446
24,1,38.579523809523806
25,1,40.13859410430839
26,1,41.70204081632653
27,1,43.24367346938776
28,1,44.8207029478458
29,1,46.40446712018141
30,1,47.99081632653061
31,1,49.530090702947845
32,1,51.10671201814059
