bar,beat,onset
1,1,4.493877551020408
2,1,5.50936507936508
3,1,6.532086167800453
4,1,7.555170068027211
5,1,8.587709750566894
6,1,9.59095238095238
7,1,10.63265306122449
8,1,11.662063492063492
9,1,12.706122448979592
10,1,13.717936507936509
11,1,14.750272108843538
12,1,15.743877551020407
13,1,16.776802721088437
14,1,17.80950113378685
15,1,18.832585034013604
16,1,19.882086167800452
17,1,20.922947845804988
18,1,21.945759637188207
19,1,22.988503401360543
20,1,24.056190476190476
21,1,25.094489795918367
22,1,26.12732426303855
23,1,27.155736961451247
24,1,28.226825396825397
25,1,29.250748299319728
26,1,30.288843537414966
27,1,31.29657596371882
28,1,32.289319727891154
29,1,33.31249433106576
30,1,34.3350566893424
31,1,35.348185941043084
32,1,36.38106575963719
33,1,37.41895691609977
34,1,38.44705215419501
35,1,39.46997732426304
