bar,beat,onset
0,1,3.983673469387755
1,1,5.371814058956916
2,1,6.761678004535147
3,1,8.097913832199547
4,1,9.443197278911565
5,1,10.764036281179138
6,1,12.134263038548752
7,1,13.515124716553288
8,1,14.854761904761904
9,1,16.200816326530614
10,1,17.54596371882086
11,1,18.917097505668934
12,1,20.262131519274377
13,1,21.627891156462585
14,1,22.998208616780044
15,1,24.36360544217687
16,1,25.71875283446712
17,1,27.05480725623583
18,1,28.399909297052154
19,1,29.76560090702948
20,1,31.116326530612245
21,1,32.39387755102041
22,1,33.73784580498866
23,1,35.05886621315193
24,1,36.41931972789116
25,1,37.759727891156466
26,1,39.10476190476191
27,1,40.48575963718821
28,1,41.80149659863945
29,1,43.20197278911564
30,1,44.55696145124717
31,1,45.92256235827664
32,1,47.257551020408165
33,1,48.60378684807256
34,1,49.95863945578231
35,1,51.31451247165533
36,1,52.709750566893426
37,1,54.09795918367347
38,1,55.449931972789116
39,1,56.811360544217685
40,1,58.156235827664396
41,1,59.53718820861678
42,1,60.88662131519274
43,1,62.257664399092974
44,1,63.602879818594104
45,1,64.92938775510204
46,1,66.32015873015872
47,1,67.62040816326531
48,1,68.97546485260771
49,1,70.29648526077098
50,1,71.66666666666667
51,1,73.01274376417234
52,1,74.34249433106577
53,1,75.68873015873015
54,1,77.03673469387755
55,1,78.37986394557824
56,1,79.73460317460318
57,1,81.05124716553289
58,1,82.3866439909297
59,1,83.75219954648526
60,1,85.0975283446712
61,1,86.45333333333333
62,1,87.7685260770975
63,1,89.09018140589569
64,1,90.43514739229025
65,1,91.7660544217687
