bar,beat,onset
-1,1,1.853061224489796
0,1,4.037573696145125
1,1,6.187777777777778
2,1,8.406145124716554
3,1,10.592131519274377
4,1,12.851179138321996
5,1,15.060045351473923
6,1,17.274308390022675
7,1,19.473174603174602
8,1,21.658072562358278
9,1,23.86718820861678
10,1,26.07156462585034
11,1,28.280408163265307
12,1,30.494603174603174
13,1,32.72816326530612
14,1,34.90766439909297
15,1,37.13253968253968
16,1,39.311950113378686
17,1,41.50108843537415
18,1,43.690226757369615
19,1,45.889319727891156
20,1,48.03918367346939
21,1,50.23804988662131
22,1,52.461995464852606
23,1,54.63174603174603
24,1,56.84024943310658
25,1,59.045260770975055
26,1,61.27902494331066
27,1,63.38873015873016
28,1,65.61283446712018
29,1,67.75727891156463
30,1,70.33061224489796
31,1,72.87755102040816
32,1,75.46938775510205
33,1,78.04353741496598
