bar,beat,onset
1,1,4.142857142857143
2,1,5.794716553287982
3,1,7.426439909297052
4,1,9.002698412698413
5,1,10.616326530612245
6,1,12.203310657596372
7,1,13.779750566893425
8,1,15.383401360544218
9,1,16.997573696145125
10,1,18.591269841269842
11,1,20.15798185941043
12,1,21.76235827664399
13,1,23.385668934240364
14,1,25.007460317460318
15,1,26.62934240362812
16,1,28.215691609977323
17,1,29.809455782312924
18,1,31.41482993197279
19,1,33.02696145124717
20,1,34.608163265306125
21,1,36.17993197278911
22,1,37.784557823129255
23,1,39.36954648526077
24,1,40.97424036281179
25,1,42.61589569160998
