bar,beat,onset
0,1,1.6021768707482993
1,1,2.6143310657596373
2,1,3.583310657596372
3,1,4.635555555555555
4,1,5.629478458049887
5,1,6.642176870748299
6,1,7.6302721088435375
7,1,8.644240362811791
8,1,9.606893424036281
9,1,10.600226757369615
10,1,11.598231292517006
11,1,12.63700680272109
12,1,13.624807256235828
13,1,14.583650793650794
14,1,15.56140589569161
15,1,16.594126984126984
16,1,17.608027210884355
17,1,18.6156462585034
18,1,19.628367346938777
19,1,20.622312925170068
20,1,21.629160997732427
21,1,22.622040816326532
22,1,23.602040816326532
23,1,24.634625850340136
24,1,25.621950113378684
25,1,26.625714285714285
26,1,27.62390022675737
27,1,28.63639455782313
28,1,29.660181405895692
29,1,30.663537414965987
30,1,31.67609977324263
31,1,32.699342403628116
32,1,33.71727891156463
33,1,34.71004535147392
34,1,35.733832199546484
35,1,36.72222222222222
36,1,37.74433106575964
37,1,38.757664399092974
38,1,39.7456462585034
39,1,40.769183673469385
40,1,41.77265306122449
41,1,42.7756462585034
42,1,43.80873015873016
43,1,44.83190476190476
44,1,45.8540589569161
45,1,46.86764172335601
46,1,47.89099773242631
47,1,48.88832199546485
48,1,49.91172335600907
49,1,50.93421768707483
50,1,51.957573696145126
51,1,52.9959410430839
52,1,54.00321995464853
53,1,55.01707482993197
54,1,56.00467120181406
55,1,56.99857142857143
56,1,58.03054421768707
57,1,59.012244897959185
58,1,60.03224489795918
59,1,61.059773242630385
60,1,62.078390022675734
61,1,63.08206349206349
62,1,64.1146485260771
63,1,65.12786848072562
64,1,66.14106575963719
65,1,67.16390022675736
66,1,68.18680272108844
