bar,beat,onset
1,1,3.4175056689342402
2,1,4.432403628117914
3,1,5.410068027210884
4,1,6.3401587301587305
5,1,7.310294784580499
6,1,8.30546485260771
7,1,9.290725623582766
8,1,10.268435374149659
9,1,11.236417233560092
10,1,12.223650793650794
11,1,13.20063492063492
12,1,14.161020408163266
13,1,15.146281179138322
14,1,16.13394557823129
15,1,17.111836734693878
16,1,18.0697052154195
17,1,19.037573696145124
18,1,20.00673469387755
19,1,21.0102947845805
20,1,21.988004535147393
21,1,22.957233560090703
22,1,23.915442176870748
23,1,24.88342403628118
24,1,25.86018140589569
25,1,26.857437641723354
26,1,27.843832199546487
27,1,28.830521541950112
28,1,29.816689342403627
29,1,30.7943537414966
30,1,31.77095238095238
31,1,32.76673469387755
32,1,33.754126984126984
33,1,34.77750566893424
34,1,35.74469387755102
35,1,36.73215419501134
36,1,37.70013605442177
37,1,38.687551020408165
38,1,39.65560090702948
39,1,40.63233560090703
40,1,41.58303854875283
41,1,42.55102040816327
42,1,43.51428571428571
43,1,44.513990929705216
44,1,45.44630385487528
45,1,46.41335600907029
46,1,47.40950113378685
47,1,48.387233560090706
48,1,49.39224489795918
49,1,50.36981859410431
50,1,51.39213151927438
51,1,52.41773242630386
52,1,53.422290249433104
53,1,54.41727891156462
54,1,55.423038548752835
55,1,56.40859410430839
56,1,57.40587301587301
57,1,58.42802721088435
58,1,59.42408163265306
59,1,60.43909297052154
60,1,61.434013605442175
61,1,62.421609977324266
62,1,63.399251700680274
63,1,64.3944671201814
64,1,65.39947845804988
65,1,66.42274376417234
66,1,67.4274149659864
