bar,beat,onset
1,1,5.109523809523809
2,1,8.574920634920636
3,1,11.956938775510205
4,1,15.322448979591837
5,1,18.714965986394557
6,1,22.142857142857142
7,1,25.48766439909297
8,1,28.90784580498866
9,1,32.23265306122449
10,1,35.74603174603175
11,1,39.18430839002268
12,1,42.59437641723356
13,1,45.959319727891156
14,1,49.391836734693875
15,1,52.779705215419504
16,1,56.12498866213152
17,1,59.49988662131519
18,1,62.9102947845805
19,1,66.36580498866213
20,1,69.69299319727891
21,1,73.14863945578232
22,1,76.61444444444444
23,1,79.98879818594105
24,1,83.3436507936508
