bar,beat,onset
1,1,3.6745578231292515
2,1,5.467006802721088
3,1,7.260090702947846
4,1,9.062018140589569
5,1,10.859410430839002
6,1,12.631655328798185
7,1,14.398888888888889
8,1,16.132086167800452
9,1,17.879569160997733
10,1,19.6859410430839
11,1,21.369206349206348
12,1,23.15609977324263
13,1,24.938956916099773
14,1,26.706213151927436
15,1,28.503514739229026
16,1,30.25560090702948
17,1,32.03780045351474
18,1,33.819863945578234
19,1,35.562993197278914
20,1,37.41929705215419
21,1,39.18659863945578
22,1,40.95444444444445
23,1,42.766281179138325
24,1,44.54861678004535
25,1,46.30639455782313
26,1,48.05843537414966
27,1,49.84068027210884
28,1,51.66439909297052
29,1,53.43022675736962
30,1,55.19730158730159
31,1,56.975192743764175
32,1,58.78671201814059
33,1,60.5924716553288
34,1,62.38181405895691
35,1,64.22285714285714
36,1,66.02480725623583
37,1,67.82761904761905
38,1,69.61990929705216
39,1,71.40136054421768
40,1,73.15473922902494
41,1,74.97668934240363
42,1,76.76904761904763
43,1,78.56528344671202
44,1,80.32342403628118
45,1,82.10045351473923
46,1,83.86761904761904
47,1,85.64095238095238
48,1,87.39256235827665
49,1,89.15984126984127
50,1,90.90736961451248
51,1,92.73954648526077
52,1,94.50666666666666
53,1,96.32462585034014
54,1,98.11115646258503
55,1,99.95793650793651
56,1,101.77031746031746
57,1,103.55718820861678
58,1,105.33945578231292
59,1,107.13698412698413
60,1,108.90408163265306
61,1,110.67668934240363
62,1,112.43394557823129
