bar,beat,onset
0,1,5.254467120181406
1,1,6.0882539682539685
2,1,6.952403628117914
3,1,7.821133786848073
4,1,8.66575963718821
5,1,9.525532879818595
6,1,10.388775510204082
7,1,11.248639455782312
8,1,12.082585034013606
9,1,12.882562358276644
10,1,13.726190476190476
11,1,14.561020408163266
12,1,15.420816326530613
13,1,16.293854875283447
14,1,17.138503401360545
15,1,17.97231292517007
16,1,18.78746031746032
17,1,19.649886621315193
18,1,20.510521541950112
19,1,21.35514739229025
20,1,22.198866213151927
21,1,23.023650793650795
22,1,23.882925170068027
23,1,24.72721088435374
24,1,25.561156462585036
25,1,26.415691609977323
26,1,27.249433106575964
27,1,28.109297052154194
28,1,28.943968253968254
29,1,29.797619047619047
30,1,30.651972789115646
31,1,31.510997732426304
32,1,32.330884353741496
33,1,33.17954648526077
34,1,34.03387755102041
35,1,34.8734693877551
36,1,35.72768707482993
37,1,36.59732426303855
38,1,37.450816326530614
39,1,38.30510204081633
40,1,39.13891156462585
41,1,39.983718820861675
42,1,40.8434693877551
43,1,41.72199546485261
44,1,42.54702947845805
45,1,43.39081632653061
46,1,44.20040816326531
47,1,45.03437641723356
48,1,45.8591156462585
49,1,46.68344671201814
50,1,47.518253968253966
51,1,48.371587301587304
52,1,49.21600907029478
53,1,50.06061224489796
54,1,50.894603174603176
55,1,51.71943310657596
56,1,52.5730612244898
57,1,53.39818594104308
58,1,54.23269841269841
59,1,55.066326530612244
60,1,55.9163492063492
61,1,56.77090702947846
62,1,57.60473922902494
63,1,58.41451247165533
64,1,59.228866213151925
65,1,60.09854875283447
66,1,60.9072335600907
67,1,61.73231292517007
68,1,62.58589569160998
69,1,63.455396825396825
70,1,64.32507936507936
71,1,65.14360544217688
72,1,65.97857142857143
73,1,66.82219954648527
74,1,67.6471201814059
75,1,68.48106575963719
76,1,69.3061224489796
77,1,70.17473922902494
78,1,71.0095918367347
79,1,71.81834467120181
80,1,72.64349206349206
81,1,73.45233560090703
82,1,74.25773242630386
83,1,75.0861224489796
84,1,75.93628117913832
85,1,76.76807256235827
86,1,77.59938775510204
87,1,78.42448979591836
88,1,79.27351473922903
89,1,80.10303854875283
90,1,80.95192743764173
91,1,81.80643990929705
92,1,82.64031746031746
93,1,83.48154195011338
94,1,84.31884353741496
95,1,85.1634693877551
96,1,85.998231292517
97,1,86.84736961451247
98,1,87.6766439909297
99,1,88.52580498866213
100,1,89.37038548752834
101,1,90.20426303854876
102,1,91.05866213151927
103,1,91.90238095238095
104,1,92.73718820861679
105,1,93.57743764172335
106,1,94.4058276643991
107,1,95.25591836734694
108,1,96.08981859410432
109,1,96.8897052154195
110,1,97.73346938775511
111,1,98.57809523809524
112,1,99.40197278911565
113,1,100.21732426303855
114,1,101.02609977324263
115,1,101.8510657596372
116,1,102.68521541950113
117,1,103.53945578231293
118,1,104.38312925170068
119,1,105.19834467120181
120,1,106.04303854875283
121,1,106.87668934240362
122,1,107.72133786848073
123,1,108.54569160997733
124,1,109.39993197278912
125,1,110.22512471655328
126,1,111.04907029478458
127,1,111.89278911564625
128,1,112.70242630385488
129,1,113.55154195011337
130,1,114.38648526077098
131,1,115.19521541950114
132,1,116.03004535147392
133,1,116.8898866213152
134,1,117.74353741496599
135,1,118.56285714285714
136,1,119.39687074829932
137,1,120.23716553287981
138,1,121.08090702947845
139,1,121.90578231292517
140,1,122.73424036281179
141,1,123.549410430839
142,1,124.37358276643991
143,1,125.21818594104309
144,1,126.0367573696145
145,1,126.861768707483
146,1,127.68569160997733
147,1,128.53043083900226
148,1,129.3751247165533
149,1,130.20897959183674
150,1,131.05913832199548
151,1,131.88730158730158
152,1,132.6928117913832
153,1,133.5185260770975
154,1,134.35174603174602
155,1,135.1955328798186
156,1,136.03034013605443
157,1,136.85934240362812
158,1,137.65950113378685
159,1,138.473537414966
160,1,139.33263038548753
161,1,140.15770975056688
162,1,140.96639455782312
163,1,141.81108843537416
164,1,142.66997732426304
165,1,143.47972789115647
166,1,144.3135827664399
167,1,145.14850340136056
168,1,145.95725623582766
169,1,146.77333333333334
170,1,147.59655328798186
171,1,148.4259863945578
172,1,149.2303628117914
173,1,150.0748979591837
174,1,150.8998866213152
175,1,151.7236961451247
176,1,152.533537414966
177,1,153.34224489795918
178,1,154.2021315192744
179,1,155.01931972789114
180,1,155.8262358276644
181,1,156.68068027210884
182,1,157.50480725623584
183,1,158.32975056689344
184,1,159.17351473922903
185,1,159.99848072562358
186,1,160.86160997732426
187,1,161.72174603174602
188,1,162.53045351473924
189,1,163.3902494331066
190,1,164.18925170068027
191,1,165.03394557823128
192,1,165.85904761904763
193,1,166.70256235827665
194,1,167.52748299319728
195,1,168.3712244897959
196,1,169.186462585034
197,1,169.99539682539682
198,1,170.8756462585034
199,1,171.6737641723356
200,1,172.47927437641724
201,1,173.2977551020408
202,1,174.13263038548752
203,1,174.957641723356
204,1,175.76655328798185
205,1,176.5917006802721
206,1,177.41555555555556
207,1,178.2352380952381
208,1,179.0396598639456
209,1,179.84952380952382
210,1,180.62902494331067
211,1,181.50827664399094
212,1,182.3073469387755
213,1,183.13242630385488
214,1,183.99544217687074
215,1,184.81072562358275
216,1,185.60009070294785
217,1,186.4153514739229
218,1,187.24984126984128
219,1,188.06861678004535
220,1,188.8934693877551
221,1,189.74696145124716
222,1,190.53709750566892
223,1,191.3514739229025
224,1,192.19736961451247
225,1,193.02448979591836
226,1,193.8938775510204
227,1,194.7243537414966
228,1,195.5680498866213
229,1,196.35918367346937
230,1,197.15748299319728
231,1,197.96462585034013
232,1,198.80344671201814
233,1,199.63673469387754
234,1,200.55897959183673
235,1,201.4189342403628
236,1,202.2536961451247
237,1,203.03752834467122
238,1,203.86138321995466
239,1,204.69630385487528
240,1,205.5115192743764
241,1,206.31049886621315
242,1,207.15512471655327
243,1,207.9596371882086
244,1,208.77927437641722
245,1,209.6032426303855
246,1,210.43804988662131
247,1,211.2622448979592
248,1,212.07201814058956
249,1,212.87104308390022
250,1,213.6960544217687
251,1,214.5300680272109
252,1,215.35514739229026
253,1,216.17369614512472
254,1,216.99879818594104
255,1,217.80748299319728
256,1,218.6424036281179
257,1,219.4565306122449
258,1,220.28167800453514
