bar,beat,onset
1,1,3.7142857142857144
2,1,5.5626303854875285
3,1,7.374648526077097
4,1,9.212244897959184
5,1,11.03265306122449
6,1,12.83517006802721
7,1,14.681632653061225
8,1,16.504104308390023
9,1,18.351473922902493
10,1,20.19260770975057
11,1,22.015215419501132
12,1,23.851972789115646
13,1,25.708798185941042
14,1,27.540385487528344
15,1,29.367551020408165
16,1,31.224807256235827
17,1,33.06122448979592
18,1,34.92233560090703
19,1,36.76922902494331
20,1,38.59138321995465
21,1,40.40816326530612
22,1,42.2212925170068
23,1,44.06208616780045
24,1,45.884739229024945
25,1,47.74077097505669
26,1,49.57959183673469
27,1,51.44439909297052
28,1,53.25655328798186
29,1,55.077551020408166
30,1,56.92619047619048
31,1,58.71836734693878
32,1,60.52979591836735
33,1,62.391836734693875
34,1,64.25376417233561
35,1,66.04603174603174
36,1,67.86791383219955
37,1,69.76004535147392
38,1,71.6159410430839
39,1,73.42448979591836
40,1,75.27755102040817
41,1,77.11020408163266
42,1,78.97356009070295
43,1,80.82857142857142
44,1,82.67709750566894
45,1,84.49897959183673
46,1,86.33632653061224
47,1,88.14249433106576
48,1,89.96022675736961
49,1,91.77281179138322
50,1,93.60421768707484
51,1,95.39165532879818
52,1,97.23798185941043
53,1,99.04181405895692
54,1,100.92231292517006
55,1,102.74829931972789
56,1,104.62448979591836
57,1,106.46768707482993
58,1,108.33371882086168
59,1,110.13877551020408
60,1,111.94285714285714
61,1,113.80510204081632
62,1,115.65233560090702
63,1,117.52834467120181
64,1,119.35068027210885
65,1,121.18714285714286
66,1,123.01902494331065
67,1,124.8559410430839
68,1,126.6938775510204
69,1,128.5351247165533
70,1,130.34655328798186
71,1,132.18972789115645
72,1,134.0555328798186
73,1,135.83274376417233
74,1,137.70204081632653
75,1,139.55616780045352
76,1,141.37807256235828
77,1,143.22648526077097
78,1,145.07201814058956
79,1,146.9293424036281
80,1,148.75031746031746
81,1,150.6325396825397
82,1,152.4742857142857
83,1,154.33072562358277
84,1,156.11020408163265
85,1,157.95444444444445
86,1,159.79183673469387
87,1,161.61428571428573
88,1,163.4363038548753
89,1,165.2734693877551
90,1,167.12954648526076
91,1,168.94285714285715
92,1,170.78909297052155
93,1,172.63018140589568
94,1,174.48662131519274
95,1,176.33523809523808
96,1,178.17079365079366
97,1,180.0026530612245
98,1,181.85907029478457
99,1,183.697052154195
100,1,185.53820861678005
101,1,187.35310657596372
102,1,189.20816326530613
103,1,191.01895691609977
104,1,192.8408843537415
105,1,194.64319727891157
106,1,196.49596371882086
107,1,198.3218820861678
108,1,200.18410430839003
109,1,201.9806349206349
110,1,203.84507936507936
