bar,beat,onset
1,1,0.9275056689342404
2,1,2.7195691609977324
3,1,4.568526077097506
4,1,6.378888888888889
5,1,8.245691609977325
6,1,10.092063492063492
7,1,11.949478458049887
8,1,13.804263038548752
9,1,15.63718820861678
10,1,17.47514739229025
11,1,19.266757369614513
12,1,21.108231292517008
13,1,22.911156462585033
14,1,24.787074829931974
15,1,26.580204081632655
16,1,28.436213151927436
17,1,30.2334693877551
18,1,32.05068027210884
19,1,33.90167800453515
20,1,35.7491156462585
21,1,37.541156462585036
22,1,39.43265306122449
23,1,41.28968253968254
24,1,43.07643990929705
25,1,44.863673469387756
26,1,46.71006802721089
27,1,48.5030612244898
28,1,50.344852607709754
29,1,52.152244897959186
30,1,53.964013605442176
31,1,55.77102040816327
32,1,57.58823129251701
33,1,59.38469387755102
34,1,61.241791383219955
35,1,63.05353741496599
36,1,64.8758276643991
37,1,66.59832199546486
38,1,68.4456462585034
