bar,beat,onset
0,1,3.6297732426303857
1,1,4.541111111111111
2,1,5.499931972789116
3,1,6.421904761904762
4,1,7.32063492063492
5,1,8.240680272108843
6,1,9.152789115646259
7,1,10.074353741496598
8,1,10.98374149659864
9,1,11.902698412698413
10,1,12.79798185941043
11,1,13.714512471655329
12,1,14.628639455782313
13,1,15.513061224489796
14,1,16.413968253968253
15,1,17.32562358276644
16,1,18.21845804988662
17,1,19.094421768707484
18,1,20.009727891156462
19,1,20.959183673469386
20,1,21.84392290249433
21,1,22.790113378684808
22,1,23.681473922902494
23,1,24.574126984126984
24,1,25.47095238095238
25,1,26.37312925170068
26,1,27.295260770975055
27,1,28.208185941043084
28,1,29.09401360544218
29,1,29.985668934240362
30,1,30.879478458049885
31,1,31.79106575963719
32,1,32.677732426303855
33,1,33.605873015873016
34,1,34.48208616780045
35,1,35.35054421768707
36,1,36.22952380952381
37,1,37.14233560090703
38,1,38.044920634920636
39,1,38.953219954648524
40,1,39.85163265306122
41,1,40.77947845804989
42,1,41.67002267573696
43,1,42.58458049886622
44,1,43.484421768707485
45,1,44.33265306122449
46,1,45.20204081632653
47,1,46.06668934240363
48,1,46.99192743764172
49,1,47.91986394557823
50,1,48.8259410430839
51,1,49.76430839002268
52,1,50.680090702947844
53,1,51.59235827664399
54,1,52.494399092970525
55,1,53.39768707482993
56,1,54.29353741496599
57,1,55.172721088435374
58,1,56.05909297052154
59,1,56.95662131519274
60,1,57.898639455782316
61,1,58.76517006802721
62,1,59.677074829931975
63,1,60.57315192743764
64,1,61.466643990929704
65,1,62.34072562358276
66,1,63.21047619047619
67,1,64.10324263038548
68,1,65.03133786848072
69,1,65.94659863945579
70,1,66.8408843537415
71,1,67.71945578231292
72,1,68.59165532879818
73,1,69.44748299319728
74,1,70.3661224489796
75,1,71.27043083900227
76,1,72.16292517006802
77,1,73.0654648526077
78,1,73.96480725623583
79,1,74.84657596371882
80,1,75.72213151927437
81,1,76.59721088435374
82,1,77.50122448979592
83,1,78.38489795918368
84,1,79.30319727891157
85,1,80.2036507936508
86,1,81.10009070294785
87,1,81.97537414965987
88,1,82.85927437641723
89,1,83.79433106575964
90,1,84.7009977324263
91,1,85.58541950113379
92,1,86.47369614512472
93,1,87.3408843537415
94,1,88.25111111111111
95,1,89.12655328798186
96,1,90.04873015873015
97,1,90.9208843537415
