bar,beat,onset
1,1,9.816326530612244
2,1,11.273219954648527
3,1,12.731360544217686
4,1,14.177482993197279
5,1,15.616054421768707
6,1,17.045102040816328
7,1,18.49342403628118
8,1,19.9397052154195
9,1,21.395714285714284
10,1,22.82455782312925
11,1,24.282857142857143
12,1,25.738843537414965
13,1,27.17748299319728
14,1,28.641133786848073
15,1,30.079863945578232
16,1,31.545691609977325
17,1,32.994126984126986
18,1,34.45882086167801
19,1,35.89727891156463
20,1,37.32605442176871
21,1,38.76362811791383
22,1,40.20233560090703
23,1,41.65714285714286
24,1,43.0969387755102
25,1,44.49861678004535
26,1,45.899365079365076
27,1,47.36514739229025
28,1,48.859092970521544
29,1,50.297596371882086
30,1,51.77170068027211
31,1,53.24748299319728
32,1,54.693832199546485
33,1,56.114761904761906
34,1,57.559183673469384
35,1,59.0271201814059
36,1,60.50265306122449
37,1,61.93061224489796
38,1,63.397301587301584
39,1,64.81643990929705
40,1,66.25521541950113
41,1,67.6734693877551
42,1,69.06122448979592
43,1,70.53061224489795
44,1,71.9795918367347
45,1,73.4734693877551
46,1,74.92244897959183
47,1,76.34006802721089
48,1,77.79675736961451
49,1,79.26256235827664
50,1,80.7110657596372
51,1,82.16709750566893
52,1,83.58619047619048
53,1,85.03460317460318
54,1,86.50045351473923
55,1,87.95643990929705
56,1,89.41249433106576
57,1,90.82448979591837
58,1,92.22448979591837
59,1,93.70875283446712
60,1,95.17444444444445
61,1,96.6227664399093
62,1,98.07882086167801
63,1,99.50775510204082
64,1,100.94639455782313
65,1,102.41224489795918
