bar,beat,onset
0,1,2.7937868480725623
1,1,3.727482993197279
2,1,4.667210884353741
3,1,5.619954648526077
4,1,6.563786848072563
5,1,7.531428571428571
6,1,8.440090702947845
7,1,9.388979591836735
8,1,10.322380952380952
9,1,11.246145124716554
10,1,12.209183673469388
11,1,13.148185941043083
12,1,14.046984126984126
13,1,14.963265306122448
14,1,15.884897959183673
15,1,16.857913832199547
16,1,17.787551020408163
17,1,18.677551020408163
18,1,19.628730158730157
19,1,20.572539682539684
20,1,21.49625850340136
21,1,22.418367346938776
22,1,23.3440589569161
23,1,24.277460317460317
24,1,25.20138321995465
25,1,26.14968253968254
26,1,27.0831746031746
27,1,27.979591836734695
28,1,28.950702947845805
29,1,29.89358276643991
30,1,30.807074829931974
31,1,31.75140589569161
32,1,32.65598639455782
33,1,33.57879818594105
34,1,34.497573696145125
35,1,35.45637188208617
36,1,36.39938775510204
37,1,37.32349206349206
38,1,38.25707482993197
39,1,39.18038548752835
40,1,40.13913832199547
41,1,41.073083900226756
42,1,42.016394557823126
43,1,42.96514739229025
44,1,43.92795918367347
45,1,44.84249433106576
46,1,45.756530612244894
47,1,46.70886621315193
48,1,47.62285714285714
49,1,48.55641723356009
50,1,49.48020408163265
51,1,50.4
52,1,51.347414965986395
53,1,52.23673469387755
54,1,53.204081632653065
55,1,54.148049886621315
56,1,55.052290249433106
57,1,55.995873015873016
58,1,56.929591836734694
59,1,57.85344671201814
60,1,58.787233560090705
61,1,59.69126984126984
62,1,60.634897959183675
63,1,61.55784580498866
64,1,62.45689342403628
65,1,63.39598639455782
