bar,beat,onset
1,1,0.4326530612244898
2,1,2.6586394557823128
3,1,4.889024943310657
4,1,7.221587301587301
5,1,9.47
6,1,11.719659863945578
7,1,13.995260770975056
8,1,16.300544217687076
9,1,18.5481179138322
10,1,20.88140589569161
11,1,23.14875283446712
12,1,25.434104308390022
13,1,27.665283446712017
14,1,29.951814058956916
15,1,32.22795918367347
16,1,34.50596371882086
17,1,36.74607709750567
18,1,39.03938775510204
19,1,41.31721088435374
20,1,43.56671201814059
21,1,45.805578231292515
22,1,48.11027210884354
23,1,50.36857142857143
24,1,52.598775510204085
25,1,54.83875283446712
26,1,57.12471655328798
27,1,59.411360544217686
28,1,61.6697052154195
29,1,63.92780045351474
30,1,66.17702947845805
31,1,68.4530612244898
32,1,70.71145124716553
33,1,72.92244897959183
34,1,75.22895691609978
35,1,77.49648526077098
36,1,79.75442176870749
37,1,82.01226757369615
38,1,84.24342403628118
39,1,86.54850340136055
40,1,88.7690022675737
41,1,91.0190022675737
42,1,93.25884353741496
43,1,95.47984126984127
44,1,97.7298185941043
45,1,100.03281179138322
46,1,102.32795918367347
47,1,104.60507936507936
48,1,106.89133786848073
49,1,109.16839002267574
