bar,beat,onset
1,1,4.0757823129251705
2,1,4.995918367346939
3,1,5.921111111111111
4,1,6.901519274376417
5,1,7.8546485260770975
6,1,8.772993197278911
7,1,9.708367346938775
8,1,10.632222222222222
9,1,11.540385487528345
10,1,12.487392290249433
11,1,13.41954648526077
12,1,14.336666666666666
13,1,15.23517006802721
14,1,16.16950113378685
15,1,17.112426303854875
16,1,18.03925170068027
17,1,18.975396825396825
18,1,19.88419501133787
19,1,20.837369614512472
20,1,21.77294784580499
21,1,22.723741496598638
22,1,23.659274376417233
23,1,24.567460317460316
24,1,25.496485260770974
25,1,26.420997732426304
26,1,27.349319727891157
27,1,28.293401360544216
28,1,29.201972789115647
29,1,30.11972789115646
30,1,31.06172335600907
31,1,31.957256235827664
32,1,32.881632653061224
33,1,33.82104308390023
