bar,beat,onset
0,1,1.5029251700680273
1,1,3.3247619047619046
2,1,5.092063492063492
3,1,6.830907029478458
4,1,8.592244897959183
5,1,10.295192743764172
6,1,12.052267573696145
7,1,13.79514739229025
8,1,15.53299319727891
9,1,17.265079365079366
10,1,19.012721088435374
11,1,20.805873015873015
12,1,22.534965986394557
13,1,24.206802721088437
14,1,25.938934240362812
15,1,27.696213151927438
16,1,29.40907029478458
17,1,31.12167800453515
18,1,32.8290022675737
19,1,34.59696145124717
20,1,36.33922902494331
21,1,38.057097505668935
22,1,39.78938775510204
23,1,41.53702947845805
24,1,43.250589569161
25,1,44.96312925170068
26,1,46.70530612244898
27,1,48.43825396825397
28,1,50.21077097505669
29,1,51.89659863945578
30,1,53.57344671201814
31,1,55.25439909297052
32,1,56.90963718820862
33,1,58.60716553287982
34,1,60.337052154195014
35,1,62.04371882086168
36,1,63.77360544217687
37,1,65.47074829931972
38,1,67.17471655328798
39,1,68.88736961451247
40,1,70.60968253968254
41,1,72.28786848072562
42,1,74.0359410430839
43,1,75.77804988662132
44,1,77.53521541950113
45,1,79.23818594104308
46,1,81.00530612244899
47,1,82.7285260770975
48,1,84.46063492063492
49,1,86.1984126984127
50,1,87.95108843537415
51,1,89.6987074829932
52,1,91.44689342403628
53,1,93.14684807256236
54,1,94.92126984126985
55,1,96.6497052154195
56,1,98.38199546485261
57,1,100.07800453514739
58,1,101.89086167800454
59,1,103.61986394557823
60,1,105.38687074829932
61,1,107.18337868480725
62,1,109.02095238095238
