bar,beat,onset
1,1,5.703605442176871
2,1,8.384648526077097
3,1,11.085374149659865
4,1,13.741133786848073
5,1,16.422063492063494
6,1,19.043174603174602
7,1,21.73954648526077
8,1,24.44031746031746
9,1,27.076349206349207
10,1,29.806303854875285
11,1,32.40791383219955
12,1,35.069591836734695
13,1,37.690725623582765
14,1,40.40673469387755
15,1,43.04489795918367
16,1,45.78310657596372
17,1,48.35918367346939
18,1,51.02995464852608
19,1,53.64702947845805
20,1,56.30299319727891
21,1,58.94916099773243
22,1,61.62471655328798
23,1,64.27628117913832
24,1,66.90612244897959
25,1,69.48922902494331
26,1,72.04557823129252
27,1,74.75587301587302
28,1,77.41278911564626
29,1,80.06349206349206
30,1,82.72938775510204
31,1,85.37548752834468
32,1,88.06643990929705
33,1,90.62360544217687
34,1,93.25467120181406
35,1,95.91630385487528
36,1,98.49224489795918
37,1,101.17353741496599
38,1,103.82916099773243
39,1,106.4656462585034
40,1,109.03233560090703
41,1,111.60446712018141
42,1,114.23503401360544
43,1,116.85208616780045
44,1,119.47315192743764
45,1,122.09977324263039
46,1,124.7012925170068
47,1,127.33133786848073
48,1,130.04802721088436
49,1,132.68426303854875
