bar,beat,onset
0,1,3.3674149659863946
1,1,7.983673469387755
2,1,12.751020408163265
3,1,17.37142857142857
4,1,21.921496598639457
5,1,26.735873015873015
6,1,31.43206349206349
7,1,36.19591836734694
8,1,40.99591836734694
9,1,45.78616780045351
10,1,50.575691609977326
11,1,55.38875283446712
12,1,60.02385487528345
13,1,64.82793650793651
14,1,69.6060544217687
15,1,74.40802721088436
16,1,79.072358276644
17,1,83.78920634920635
18,1,88.45024943310658
19,1,93.21863945578231
20,1,97.89387755102041
21,1,102.51609977324263
22,1,107.31102040816326
23,1,112.09210884353742
24,1,116.6536507936508
25,1,121.17551020408163
26,1,125.58512471655328
27,1,129.8575963718821
28,1,134.26938775510203
29,1,138.9777097505669
