bar,beat,onset
1,1,5.481678004535147
2,1,6.4688662131519274
3,1,7.491655328798186
4,1,8.514489795918367
5,1,9.594195011337868
6,1,10.634852607709751
7,1,11.649342403628118
8,1,12.69201814058957
9,1,13.752108843537416
10,1,14.775215419501134
11,1,15.820408163265306
12,1,16.858367346938774
13,1,17.900226757369616
14,1,18.951020408163266
15,1,19.9931746031746
16,1,20.988163265306124
17,1,22.021133786848072
18,1,23.073560090702948
19,1,24.123922902494332
20,1,25.156689342403627
21,1,26.188526077097507
22,1,27.21183673469388
23,1,28.22639455782313
24,1,29.27668934240363
25,1,30.272698412698414
26,1,31.277414965986395
27,1,32.329909297052154
28,1,33.30204081632653
29,1,34.373877551020406
30,1,35.388344671201814
31,1,36.40312925170068
32,1,37.380702947845805
33,1,38.38544217687075
34,1,39.39868480725624
35,1,40.44138321995465
36,1,41.41888888888889
37,1,42.42362811791383
38,1,43.45662131519274
39,1,44.5068253968254
40,1,45.52913832199547
41,1,46.5543537414966
42,1,47.57641723356009
43,1,48.62680272108844
44,1,49.64231292517007
45,1,50.66462585034014
46,1,51.67013605442177
47,1,52.69226757369614
48,1,53.69816326530612
49,1,54.722426303854874
50,1,55.72587301587301
51,1,56.79555555555555
52,1,57.81863945578231
53,1,58.85081632653061
54,1,59.87598639455782
55,1,60.87086167800454
56,1,61.85825396825397
57,1,62.88056689342404
58,1,63.8765306122449
59,1,64.8714739229025
60,1,65.90446712018141
61,1,66.92879818594105
62,1,67.92378684807257
63,1,68.91877551020409
64,1,69.91482993197279
65,1,70.9195918367347
66,1,71.9166439909297
67,1,72.92888888888889
68,1,73.98145124716554
69,1,75.00421768707483
70,1,76.03734693877551
71,1,77.05941043083901
72,1,78.10213151927438
73,1,79.09716553287981
74,1,80.1027664399093
75,1,81.12492063492064
76,1,82.14052154195011
77,1,83.15492063492063
78,1,84.1584126984127
79,1,85.16340136054421
80,1,86.16814058956916
81,1,87.12834467120182
82,1,88.10510204081632
83,1,89.06938775510204
84,1,90.04079365079365
85,1,91.0378231292517
86,1,92.04036281179138
87,1,93.07349206349207
88,1,94.15321995464852
89,1,95.19439909297053
90,1,96.18081632653062
91,1,97.17646258503402
92,1,98.20102040816326
93,1,99.19600907029478
94,1,100.1918820861678
95,1,101.22392290249434
96,1,102.26655328798186
97,1,103.27979591836734
98,1,104.27702947845805
99,1,105.29916099773243
100,1,106.3145804988662
101,1,107.29972789115646
102,1,108.27757369614513
103,1,109.29192743764172
104,1,110.27714285714286
105,1,111.25473922902495
106,1,112.22251700680272
107,1,113.19997732426305
108,1,114.18743764172335
109,1,115.22034013605442
110,1,116.21532879818594
111,1,117.2472335600907
112,1,118.25312925170068
113,1,119.26759637188209
114,1,120.26267573696146
115,1,121.31292517006803
116,1,122.33607709750567
117,1,123.32342403628118
118,1,124.33820861678005
119,1,125.37086167800453
120,1,126.32904761904761
121,1,127.3154648526077
122,1,128.27337868480726
123,1,129.25115646258504
124,1,130.26580498866213
125,1,131.30832199546487
126,1,132.3032879818594
127,1,133.31680272108844
128,1,134.34115646258505
129,1,135.32630385487528
130,1,136.35934240362812
131,1,137.3738775510204
132,1,138.36965986394557
133,1,139.39201814058956
134,1,140.37943310657596
135,1,141.3743537414966
136,1,142.38977324263038
137,1,143.38485260770975
138,1,144.38977324263038
139,1,145.37716553287981
140,1,146.35480725623583
141,1,147.3399546485261
142,1,148.32734693877552
143,1,149.29514739229026
144,1,150.271768707483
145,1,151.2677097505669
146,1,152.23462585034014
147,1,153.28718820861678
148,1,154.28208616780046
149,1,155.2694784580499
150,1,156.27312925170068
151,1,157.27020408163264
152,1,158.2931746031746
153,1,159.27963718820862
154,1,160.2279365079365
155,1,161.1600453514739
156,1,162.15503401360544
157,1,163.1521088435374
158,1,164.18303854875285
159,1,165.17043083900228
160,1,166.1751700680272
161,1,167.1624716553288
162,1,168.15863945578232
163,1,169.1262358276644
164,1,170.12115646258502
165,1,171.11839002267573
166,1,172.13049886621314
167,1,173.163537414966
168,1,174.18655328798187
169,1,175.22925170068027
