bar,beat,onset
1,1,7.248684807256236
2,1,11.393015873015873
3,1,15.502380952380953
4,1,19.582947845804988
5,1,23.688140589569162
6,1,27.763333333333332
7,1,31.912426303854875
8,1,36.03768707482993
9,1,40.12408163265306
10,1,44.2822902494331
11,1,48.33764172335601
12,1,52.397619047619045
13,1,56.44380952380953
14,1,60.533038548752835
15,1,64.59850340136055
16,1,68.62356009070295
17,1,72.57031746031745
18,1,76.58607709750567
19,1,80.5765306122449
20,1,84.60712018140589
21,1,88.59818594104308
22,1,92.58854875283447
23,1,96.47027210884353
24,1,100.35628117913832
25,1,104.219410430839
26,1,108.18485260770976
27,1,112.09562358276644
28,1,116.0127664399093
29,1,119.91433106575964
30,1,123.82526077097506
31,1,127.73637188208617
32,1,131.7179365079365
33,1,135.5395238095238
34,1,139.50503401360544
35,1,143.46702947845804
36,1,147.34326530612245
37,1,151.1704761904762
38,1,155.03648526077097
39,1,158.85925170068026
40,1,162.9388888888889
