bar,beat,onset
1,1,2.1020408163265305
2,1,3.3476190476190477
3,1,4.587165532879818
4,1,5.785147392290249
5,1,6.982176870748299
6,1,8.20578231292517
7,1,9.427845804988662
8,1,10.626167800453516
9,1,11.824557823129252
10,1,13.072879818594105
11,1,14.271791383219954
12,1,15.50201814058957
13,1,16.74238095238095
14,1,17.903219954648527
15,1,19.119002267573695
16,1,20.324240362811793
17,1,21.503015873015872
18,1,22.72342403628118
19,1,23.923900226757368
20,1,25.122086167800454
21,1,26.308367346938777
22,1,27.513015873015874
23,1,28.736507936507937
24,1,29.948730158730157
25,1,31.17988662131519
26,1,32.370657596371885
27,1,33.55922902494331
28,1,34.77918367346939
29,1,35.99263038548753
30,1,37.1840589569161
31,1,38.35927437641723
32,1,39.56482993197279
33,1,40.752267573696145
34,1,41.96959183673469
35,1,43.19952380952381
36,1,44.45460317460317
37,1,45.69396825396825
38,1,46.929410430839
39,1,48.209319727891156
40,1,49.44718820861678
41,1,50.703378684807255
42,1,51.95578231292517
43,1,53.21433106575964
44,1,54.46907029478458
45,1,55.712267573696145
46,1,56.93365079365079
47,1,58.15834467120182
48,1,59.3921768707483
49,1,60.60709750566893
50,1,61.866734693877554
51,1,63.088140589569164
52,1,64.34251700680272
53,1,65.52759637188208
54,1,66.76056689342404
55,1,67.99587301587302
56,1,69.18253968253968
57,1,70.39877551020408
58,1,71.62374149659864
59,1,72.79612244897959
60,1,73.99317460317461
61,1,75.1646485260771
62,1,76.37396825396826
63,1,77.57056689342403
64,1,78.7407029478458
65,1,79.91598639455782
66,1,81.13140589569161
67,1,82.36251700680272
68,1,83.60925170068028
69,1,84.85442176870748
70,1,86.06956916099773
71,1,87.3529931972789
72,1,88.58807256235828
73,1,89.81267573696145
74,1,91.06732426303854
75,1,92.32006802721088
76,1,93.53065759637188
77,1,94.74174603174603
78,1,95.99535147392291
79,1,97.19213151927438
80,1,98.44680272108843
81,1,99.65503401360544
82,1,100.89049886621315
83,1,102.1114058956916
84,1,103.33267573696145
85,1,104.54791383219954
86,1,105.78104308390023
87,1,106.98204081632653
88,1,108.16344671201814
89,1,109.39235827664399
90,1,110.61451247165533
91,1,111.86501133786848
92,1,113.10519274376418
93,1,114.31204081632653
94,1,115.53374149659864
95,1,116.76385487528344
96,1,117.980589569161
97,1,119.17600907029478
98,1,120.39972789115646
99,1,121.6592970521542
100,1,122.91773242630386
101,1,124.15242630385488
102,1,125.38308390022675
103,1,126.64367346938775
104,1,127.881179138322
105,1,129.1326984126984
106,1,130.34081632653061
107,1,131.58367346938775
108,1,132.75863945578232
109,1,134.03138321995465
110,1,135.32244897959183
111,1,136.5204081632653
112,1,137.76326530612246
113,1,138.9551020408163
114,1,140.1962811791383
115,1,141.4859410430839
116,1,142.70702947845805
117,1,143.89469387755102
118,1,145.12621315192743
119,1,146.34285714285716
120,1,147.5308843537415
121,1,148.6818367346939
122,1,149.90238095238095
123,1,151.09920634920636
124,1,152.315306122449
125,1,153.54079365079366
126,1,154.77278911564625
127,1,155.96480725623582
128,1,157.17473922902494
129,1,158.35902494331066
130,1,159.61204081632653
