bar,beat,onset
1,1,4.176689342403628
2,1,5.2168707482993195
3,1,6.2942857142857145
4,1,7.409931972789115
5,1,8.51766439909297
6,1,9.605192743764173
7,1,10.710975056689342
8,1,11.836349206349206
9,1,12.905102040816326
10,1,13.993378684807256
11,1,15.063333333333333
12,1,16.170249433106576
13,1,17.2759410430839
14,1,18.374263038548754
15,1,19.458321995464853
16,1,20.54
17,1,21.610113378684808
18,1,22.688662131519273
19,1,23.77580498866213
20,1,24.88018140589569
21,1,25.989614512471654
22,1,27.11485260770975
23,1,28.1924716553288
24,1,29.2981179138322
25,1,30.368049886621314
26,1,31.456439909297053
27,1,32.52643990929705
28,1,33.61485260770975
29,1,34.674897959183674
30,1,35.73521541950113
31,1,36.7855328798186
32,1,37.84580498866213
33,1,38.94385487528345
34,1,39.994195011337865
35,1,41.073945578231296
36,1,42.16984126984127
37,1,43.24963718820862
38,1,44.33780045351474
39,1,45.43485260770975
40,1,46.51358276643991
41,1,47.60185941043084
42,1,48.707573696145126
43,1,49.795102040816325
44,1,50.87467120181406
45,1,51.9434693877551
46,1,53.03095238095238
47,1,54.12913832199546
48,1,55.208730158730155
49,1,56.28727891156463
50,1,57.36489795918367
51,1,58.434829931972786
52,1,59.533038548752835
53,1,60.61136054421769
54,1,61.71709750566893
55,1,62.77718820861678
56,1,63.86675736961451
57,1,64.94437641723356
58,1,66.02303854875284
59,1,67.09285714285714
60,1,68.19120181405896
61,1,69.24122448979591
62,1,70.31922902494331
63,1,71.38904761904762
64,1,72.4677097505669
65,1,73.55585034013606
66,1,74.6355328798186
