bar,beat,onset
-1,1,2.6207256235827665
0,1,3.8569160997732426
1,1,5.1584580498866215
2,1,6.42031746031746
3,1,7.700362811791384
4,1,9.010680272108843
5,1,10.246893424036282
6,1,11.514195011337868
7,1,12.739727891156463
8,1,13.992925170068027
9,1,15.261315192743764
10,1,16.48390022675737
11,1,17.766167800453516
12,1,19.02081632653061
13,1,20.21331065759637
14,1,21.47907029478458
15,1,22.715192743764174
16,1,23.96671201814059
17,1,25.218344671201812
18,1,26.45886621315193
19,1,27.68979591836735
20,1,28.917210884353743
21,1,30.13843537414966
22,1,31.354988662131518
23,1,32.60201814058957
24,1,33.85235827664399
25,1,35.069047619047616
26,1,36.30730158730159
27,1,37.6459410430839
28,1,38.861496598639455
29,1,40.09460317460317
30,1,41.34061224489796
31,1,42.586780045351475
32,1,43.828208616780046
33,1,45.06458049886621
34,1,46.320408163265306
35,1,47.54233560090703
36,1,48.7787074829932
37,1,50.044331065759636
38,1,51.311020408163266
