bar,beat,onset
0,1,2.1547165532879817
1,1,4.04421768707483
2,1,5.943650793650794
3,1,7.84281179138322
4,1,9.769591836734694
5,1,11.676598639455783
6,1,13.614081632653061
7,1,15.531020408163265
8,1,17.447777777777777
9,1,19.37442176870748
10,1,21.28265306122449
11,1,23.24625850340136
12,1,25.144285714285715
13,1,27.06092970521542
14,1,28.997596371882086
15,1,30.915328798185943
16,1,32.85031746031746
17,1,34.78689342403628
18,1,36.758979591836734
19,1,38.71283446712018
20,1,40.63072562358277
21,1,42.57551020408163
22,1,44.49231292517007
23,1,46.428820861678005
24,1,48.34575963718821
25,1,50.263560090702946
26,1,52.18063492063492
27,1,54.08011337868481
28,1,55.98721088435374
29,1,57.9237641723356
30,1,59.87755102040816
31,1,61.76807256235828
32,1,63.72052154195011
33,1,65.67530612244897
